¬	mgbagha
🤨	enweghị ntụkwasịobi, ihu weliri anya elu, uche ọma
😐️	ihu, ihu nkịtị, ike ọgwụgwụ, nnọnetiti
😑	egosipụtaghị, emeghị ngosipụta, enweghị ngosipụta, ihu, ihu enweghị ngosipụta
😶	ihu, ihu enweghị ọnụ, nwayọ, ọnụ
😏	ihu, ihu na-eme nka ọchị, nka ọchị
😒	atọghị ọchị, enweghị obi aṅụrị, ihu, uhu atọghị ọchị
🙄	anya, ihu, ihu nwere kpụrụkpụrụ anya na-akpọgharị akpọgharị, na-akpọgharị
😬	ihu, ihu ntachị anya, ntachi anya
🤥	Ihu asị, gosiri, ihu, mgbagwojuanya
😌	ihu, ihu nnwere onwe, nnwere onwe
😔	ajụrụ ajụ, ihu, ihu echiche, nọ n’echiche
😪	ihu, ihu anya ụra, ụra
🤤	ihu, ihu na-agụsị asọ mmiri, na-agụsị asọ mmiri
😴	ihu, ihu na-ehi ụra, zzz, ụra
😷	dọkịta, ihu, ihu nwere mkpuchi ihu ngwaọrụ ụlọ ọgwụ, mkpuchi, onye ọrịa, oyi, ọgwụ
🤒	ihu, ihu nwere ngwa ogologo, ngwa ogologo, onye, ọrịa
🤕	ahụ, akwà mkpuchi, ihu, ihu nwere akwà mkpuchi, mmerụ
🤢	agbọọ, ihu, ihu nkoropu, nkoropu
🤮	ihu na-agbọ agbọ, ọgbụgbọ, ọrịa
🤧	gesundheit, ihu, ihu nfụkọ, ntụfọ
😵	ajụ, ihu, ihu ajụ
🤯	ihe atụghị anya ya, isi mere nkụwa
🤠	ihu, ihu okpu onye ọchụụ nnama, nwanyị ọchụụ nnama, nwoke ọchụụ nnama, okpu
😎	amụ, anya, anyanwụ, dị mma, ihu, ihu amụ nwere ugogbe anya anyanwụ, ile anya, ugogbe anya
🤓	eze, ihu, ihu eze ọchị, ọchị
🧐	enweghị ezigbo ìkùkù, ihu nwere ahụọnụ
😕	ihu, ihu mgbagwoju anya, mgbagwoju anya
😟	ihu, ihu nwere nchekasị ahụ, nwere nchekasị ahụ
🙁	ihu, mgbarụ, nwa obere mgbarụ ihu
☹️	ihu, mgbarụ, na-agbarụ ihu
😮	ihu, ihu nwere mmepe ọnụ, mmepe, obi ebere, ọnụ
😯	dara jụụ, ihu, ihu dara jụụ, mmadụ n’anya, tụrụ
😲	ihu, ihu nwere ịtụnanya, nwere mgbagwoju, n’anya, tụrụ
😳	ihu, ihu nchagharị ọbara, nchagharị, nwere ụjọ
😦	ihu, ihu mgbarụ nwere mmepe ọnụ, mgbarụ, mmepe, ọnụ
😧	ihu, ihu nwere ọnụma, nwere ọnụma
😨	atụ ụjọ, ihu, ihu ujọ, na, ụjọ
😰	anụnụ, ihu, ihu nwere mmepe ọnụ & okpofufu oyi, mepere, nwetara, okpofufu, oyi, ọnụ
😥	ihu, ihu ngharịpụ mana nwere nkuda ume, nwere ngharịpụ, nwere nkuda, ume
😢	akwa, akwarịrị, ihu, ihu na-ebe akwa, nwute
😭	akwa, echemụ, echiche, ihu, ihu akwa mkpu, mwute
😱	eti mkpu, ihu, ihu na-eti n’ụjọ, mkpụ, na-atụ ụjọ, nwere ụjọ, ụjọ
😖	ihu, ihu nwere mgbagwoju anya, nwere mgbagwoju anya
😣	ihu, ihu na-enwe ntachi obi, ntachi obi
😞	ihu, ihu nwere ngharịpụ, nwere ngharịpụ
😓	ihu, ihu nwere okpofufu oyi, okpofufu, oyi
😩	ihu, ihu ike ọgwụgwụ, ike ọgwụgwụ, nwere ume ọgwụgwụ
😫	ihu, ihu ume ọgwụgwụ, nwere ume ọgwụgwụ
😤	ihu, ihu nwere mpụta anwụrụ ọkụ n’imi, mmeri, nwere
😡	aka, ibu agha, ihu, ihu nsụpụta ọnụ, iwe, na-arụtụ, ọbara
😠	ezigbo, ihu, ihu iwe, iwe
🤬	ihu nwere akara n’elu onụ, na-aṅụ iyi
😈	akọrọakọ, amụ, arọmarọ, ihu, ihu amụ nwere mpi, nwere mpi
👿	ajọ mmụọ, akọrọakọ, aromarọ, ekwensu, ihu, ihu iwe nwere mpi, imp
💀	arọmarọ, ihe egwu, ihu, okpokoro isi, ọnwụ
☠️	ihe egwu, ihu, ndochiọkpụkpụ, okpokoroisi, okpokoroisi na ndochiọkpụkpụ, ọnwụ
💩	ihe egwu, ihu, ikpo nke nsi, nsi, poo, poop, ọchị
🤡	ihu, ihu njakịrị, njakịrị
👹	akọrọakọ, arọmarọ, ihe egwu, ihu, okike
👺	akọrọakọ, arọmarọ, gọblịn, ihe egwu, ihu, okike
👻	akọrọakọ, arọmarọ, ihe egwu, ihu, mmụọ, okike
👽️	akọrọakọ, arọmarọ, ihe egwu, ihe nsina mba ọzọ, ihu, mmụọ ndịọzọ, okike, ufo
👾	akọrọakọ, arọmarọ, ihe egwu, ihe egwu ihe nsina mba ọzọ, ihe nsina mba ọzọ, ihu, mmụọ ndịọzọ, ufo
🤖	ihe egwu, ihu, ihu rọbọtụ, rọbọtụ
😺	amụ, ihu, ihu amụ nwamba nwere mmepe ọnụ, mmepe, nwamba, ọnụ
😸	amụ, anya, ihu, ihu ọchị nwamba nwere anya amụ, nwamba, ọchị
😹	anya mmiri, anụrị, ihu, ihu nwamba nwere anya mmiri anụrị, nwamba
😻	anya, ihu, ihu ọchị nwamba nwere obi ebere, nwamba, nwere amụ, ịhụnanya
😼	amụ, ihu, ihu nwamba nwere amụ pụrụiche, nwamba, pụrụiche, ọchị
😽	anya, ihu, nsusu, nsusu ihu nwamba nwere mmechi anya, nwamba
🙀	ihu, ihu ike ọgwụgwụ nwamba, ike ọgwụgwụ, nwamba, nwere mgbagwojuanya, oh
😿	akwa, anya mmiri, ihu, ihu akwa nwamba, na mwute, nwambe
😾	ihu, na-asụpụta ọnụ nwamba, nsụpụta ọnụ, nwambe
🙈	ahụkwala-ènwè-ọjọọ, ajọọ, egbochighị, egbochiri, ihu, mgbe, no, ogbugbu, ịhụ, ịhụ ya
🙉	anụkwala-ènwè-ọjọọ, egbochighị, egbochiri, ihu, inwe, mgbe, ogbugbu, ènwè, ịnụ, ọjọọ
🙊	ajọọ, egbochighị, egbochiri, ekwukwala-ènwè-ọjọọ, ihu, mgbe, no, ogbugbu, ịhụ, ịkwu
💌	leta, leta ihụ̀nanya, obi, ozi, ịhụ̀nanya
💘	akụ, mmụọ omumeihe, obi nwere akụ
💝	obi nwere ọmarịcha eriri, ribọn, valentịnụ
💖	mmuke, nwere aṅụrị, obi mmuke
💗	akwara, na-eto eto, nkụ obi, nwere aṅụrị, obi na-eto eto
💓	na-akụ, na-eme nkuli nkụda, obi na-akụ akụ
💞	na-agba okirikiri, obi na-agba okirikiri
💕	obi àbụọ, ịhụnanya
💟	obi, ịchọ mma obi
❣️	akara, nnukwu obi ntimkpu, ntimkpu, ntụpọ
💔	gbajie, ntiwa, obi ntiwa
❤️	obi, obi ọbara
🧡	obi orenji, orenji
💛	obi na-acha èdò èdò, èdò
💚	ndụ, obi na-acha ndụ ndụ
💙	anụnụ, obi na-acha anụnụ anụnụ
💜	obi na-acha pọpụl, pọpụl
🖤	obi ojii, ojii, àgwà, ọjọọ
💋	akara nsusu, egbugbereọnụ gasị, nsusu ọnụ
💯	100, akara, narị, n’uju, pọịntị narị gasị
💢	akara iwe, ara, iwe, mkpaọchị
💥	buum, mkpaọchị, nkụkọrịta
💫	ajụ, kpakpandò, mkpaọchị
💦	boom, na-egosipụta, ntụpụta okpoofù, okpoofù
💨	mkpaọchị, na-apụ apụ, na-emebe, ọpụpụ
🕳️	ọnụ oghere
💬	blonblo, blonblon, blonblon okwu, mkpaọchị, okwu, ụbụbọ
👁‍🗨	akaebe, anya, anya na blonblo okwu, blonblo okwu
🗨️	blonblo okwu akaèkpè, okwu, ụbọbọ
🗯️	ara, blonblo, blonblo iwe akanri, blonblon, iwe
💭	blonblo, blonblon, blonblon echichè, echichè, mkpaọchị
💤	mkpaọchị, zzz, ụra
👋	aka, na-efe, na-efe aka, ofufe
👋🏻	aka, na-efe, na-efe aka: ọtanjele ahụ maka ọcha, ofufe, ọtanjele ahụ maka ọcha
👋🏼	aka, na-efe, na-efe aka: ọtanjele ahụ maka ọcha-ndịna etiti, ofufe, ọtanjele ahụ maka ọcha-ndịna etiti
👋🏽	aka, na-efe, na-efe aka: ọtanjele ahụ ndịna etiti, ofufe, ọtanjele ahụ ndịna etiti
👋🏾	aka, na-efe, na-efe aka: ọtanjele ahụ maka òji-ndịna etiti, ofufe, ọtanjele ahụ maka òji-ndịna etiti
👋🏿	aka, na-efe, na-efe aka: ọtanjele ahụ maka òji, ofufe, ọtanjele ahụ maka òji
🤚	azụ aka, azụ aka nke ewelitere elu, ewelitere elu
🤚🏻	azụ aka, azụ aka nke ewelitere elu, azụ aka nke ewelitere elu: ọtanjele ahụ maka ọcha, ewelitere elu, ọtanjele ahụ maka ọcha
🤚🏼	azụ aka, azụ aka nke ewelitere elu, azụ aka nke ewelitere elu: ọtanjele ahụ maka ọcha-ndịna etiti, ewelitere elu, ọtanjele ahụ maka ọcha-ndịna etiti
🤚🏽	azụ aka, azụ aka nke ewelitere elu, azụ aka nke ewelitere elu: ọtanjele ahụ ndịna etiti, ewelitere elu, ọtanjele ahụ ndịna etiti
🤚🏾	azụ aka, azụ aka nke ewelitere elu, azụ aka nke ewelitere elu: ọtanjele ahụ maka òji-ndịna etiti, ewelitere elu, ọtanjele ahụ maka òji-ndịna etiti
🤚🏿	azụ aka, azụ aka nke ewelitere elu, azụ aka nke ewelitere elu: ọtanjele ahụ maka òji, ewelitere elu, ọtanjele ahụ maka òji
🖐️	aka, mgbasa mkpịsịaka, mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka
🖐🏻	aka, mgbasa mkpịsịaka, mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
🖐🏼	aka, mgbasa mkpịsịaka, mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🖐🏽	aka, mgbasa mkpịsịaka, mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
🖐🏾	aka, mgbasa mkpịsịaka, mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
🖐🏿	aka, mgbasa mkpịsịaka, mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka, welitere aka elu n’iji mgbasa mkpịsịaka: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
✋	aka, aka ewèliri
✋🏻	aka, aka ewèliri, aka ewèliri: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
✋🏼	aka, aka ewèliri, aka ewèliri: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
✋🏽	aka, aka ewèliri, aka ewèliri: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
✋🏾	aka, aka ewèliri, aka ewèliri: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
✋🏿	aka, aka ewèliri, aka ewèliri: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
🖖	ajọọ èkèle, aka, mgbasa mkpịsịaka, mkpịsịaka
🖖🏻	ajọọ èkèle, ajọọ èkèle: ọtanjele ahụ maka ọcha, aka, mgbasa mkpịsịaka, mkpịsịaka, ọtanjele ahụ maka ọcha
🖖🏼	ajọọ èkèle, ajọọ èkèle: ọtanjele ahụ maka ọcha-ndịna etiti, aka, mgbasa mkpịsịaka, mkpịsịaka, ọtanjele ahụ maka ọcha-ndịna etiti
🖖🏽	ajọọ èkèle, ajọọ èkèle: ọtanjele ahụ ndịna etiti, aka, mgbasa mkpịsịaka, mkpịsịaka, ọtanjele ahụ ndịna etiti
🖖🏾	ajọọ èkèle, ajọọ èkèle: ọtanjele ahụ maka òji-ndịna etiti, aka, mgbasa mkpịsịaka, mkpịsịaka, ọtanjele ahụ maka òji-ndịna etiti
🖖🏿	ajọọ èkèle, ajọọ èkèle: ọtanjele ahụ maka òji, aka, mgbasa mkpịsịaka, mkpịsịaka, ọtanjele ahụ maka òji
🫱🏻‍🫲🏼	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha na ọtanjele ahụ maka ọcha-ndịna etiti, nzukọ, ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha-ndịna etiti
🫱🏻‍🫲🏽	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha na ọtanjele ahụ ndịna etiti, nzukọ, ọtanjele ahụ maka ọcha, ọtanjele ahụ ndịna etiti
🫱🏻‍🫲🏾	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha na ọtanjele ahụ maka òji-ndịna etiti, nzukọ, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha
🫱🏻‍🫲🏿	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha na ọtanjele ahụ maka òji, nzukọ, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha
🫱🏼‍🫲🏻	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha-ndịna etiti na ọtanjele ahụ maka ọcha, nzukọ, ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha-ndịna etiti
🫱🏼‍🫲🏽	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha-ndịna etiti na ọtanjele ahụ ndịna etiti, nzukọ, ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ ndịna etiti
🫱🏼‍🫲🏾	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha-ndịna etiti na ọtanjele ahụ maka òji-ndịna etiti, nzukọ, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🫱🏼‍🫲🏿	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha-ndịna etiti na ọtanjele ahụ maka òji, nzukọ, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha-ndịna etiti
🫱🏽‍🫲🏻	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka ọcha, nzukọ, ọtanjele ahụ maka ọcha, ọtanjele ahụ ndịna etiti
🫱🏽‍🫲🏼	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka ọcha-ndịna etiti, nzukọ, ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ ndịna etiti
🫱🏽‍🫲🏾	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka òji-ndịna etiti, nzukọ, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ ndịna etiti
🫱🏽‍🫲🏿	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka òji, nzukọ, ọtanjele ahụ maka òji, ọtanjele ahụ ndịna etiti
🫱🏾‍🫲🏻	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka ọcha, nzukọ, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha
🫱🏾‍🫲🏼	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka ọcha-ndịna etiti, nzukọ, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🫱🏾‍🫲🏽	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ ndịna etiti, nzukọ, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ ndịna etiti
🫱🏾‍🫲🏿	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka òji, nzukọ, ọtanjele ahụ maka òji, ọtanjele ahụ maka òji-ndịna etiti
🫱🏿‍🫲🏻	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji na ọtanjele ahụ maka ọcha, nzukọ, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha
🫱🏿‍🫲🏼	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji na ọtanjele ahụ maka ọcha-ndịna etiti, nzukọ, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha-ndịna etiti
🫱🏿‍🫲🏽	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji na ọtanjele ahụ ndịna etiti, nzukọ, ọtanjele ahụ maka òji, ọtanjele ahụ ndịna etiti
🫱🏿‍🫲🏾	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji na ọtanjele ahụ maka òji-ndịna etiti, nzukọ, ọtanjele ahụ maka òji, ọtanjele ahụ maka òji-ndịna etiti
👌	AKA dị mma, DỊ MMA, aka
👌🏻	AKA dị mma, AKA dị mma: ọtanjele ahụ maka ọcha, DỊ MMA, aka, ọtanjele ahụ maka ọcha
👌🏼	AKA dị mma, AKA dị mma: ọtanjele ahụ maka ọcha-ndịna etiti, DỊ MMA, aka, ọtanjele ahụ maka ọcha-ndịna etiti
👌🏽	AKA dị mma, AKA dị mma: ọtanjele ahụ ndịna etiti, DỊ MMA, aka, ọtanjele ahụ ndịna etiti
👌🏾	AKA dị mma, AKA dị mma: ọtanjele ahụ maka òji-ndịna etiti, DỊ MMA, aka, ọtanjele ahụ maka òji-ndịna etiti
👌🏿	AKA dị mma, AKA dị mma: ọtanjele ahụ maka òji, DỊ MMA, aka, ọtanjele ahụ maka òji
✌️	aka, aka mmeri, mmeri, v
✌🏻	aka, aka mmeri: ọtanjele ahụ maka ọcha, mmeri, v, ọtanjele ahụ maka ọcha
✌🏼	aka, aka mmeri: ọtanjele ahụ maka ọcha-ndịna etiti, mmeri, v, ọtanjele ahụ maka ọcha-ndịna etiti
✌🏽	aka, aka mmeri: ọtanjele ahụ ndịna etiti, mmeri, v, ọtanjele ahụ ndịna etiti
✌🏾	aka, aka mmeri: ọtanjele ahụ maka òji-ndịna etiti, mmeri, v, ọtanjele ahụ maka òji-ndịna etiti
✌🏿	aka, aka mmeri: ọtanjele ahụ maka òji, mmeri, v, ọtanjele ahụ maka òji
🤞	aka, isiọma, mkpịakọ, mkpịakọ mkpịsịaka gasị, mkpịsịaka
🤞🏻	aka, isiọma, mkpịakọ, mkpịakọ mkpịsịaka gasị, mkpịakọ mkpịsịaka gasị: ọtanjele ahụ maka ọcha, mkpịsịaka, ọtanjele ahụ maka ọcha
🤞🏼	aka, isiọma, mkpịakọ, mkpịakọ mkpịsịaka gasị, mkpịakọ mkpịsịaka gasị: ọtanjele ahụ maka ọcha-ndịna etiti, mkpịsịaka, ọtanjele ahụ maka ọcha-ndịna etiti
🤞🏽	aka, isiọma, mkpịakọ, mkpịakọ mkpịsịaka gasị, mkpịakọ mkpịsịaka gasị: ọtanjele ahụ ndịna etiti, mkpịsịaka, ọtanjele ahụ ndịna etiti
🤞🏾	aka, isiọma, mkpịakọ, mkpịakọ mkpịsịaka gasị, mkpịakọ mkpịsịaka gasị: ọtanjele ahụ maka òji-ndịna etiti, mkpịsịaka, ọtanjele ahụ maka òji-ndịna etiti
🤞🏿	aka, isiọma, mkpịakọ, mkpịakọ mkpịsịaka gasị, mkpịakọ mkpịsịaka gasị: ọtanjele ahụ maka òji, mkpịsịaka, ọtanjele ahụ maka òji
🤟	ILY, aka, ogbugbu-ịhụnanya
🤟🏻	ILY, aka, ogbugbu-ịhụnanya, ogbugbu-ịhụnanya: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
🤟🏼	ILY, aka, ogbugbu-ịhụnanya, ogbugbu-ịhụnanya: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🤟🏽	ILY, aka, ogbugbu-ịhụnanya, ogbugbu-ịhụnanya: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
🤟🏾	ILY, aka, ogbugbu-ịhụnanya, ogbugbu-ịhụnanya: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
🤟🏿	ILY, aka, ogbugbu-ịhụnanya, ogbugbu-ịhụnanya: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
🤘	aka, akara nke mpi gasị, mkpịsịaka, mkpịsịaka abụọ, mpi gasị
🤘🏻	aka, akara nke mpi gasị, akara nke mpi gasị: ọtanjele ahụ maka ọcha, mkpịsịaka, mkpịsịaka abụọ, mpi gasị, ọtanjele ahụ maka ọcha
🤘🏼	aka, akara nke mpi gasị, akara nke mpi gasị: ọtanjele ahụ maka ọcha-ndịna etiti, mkpịsịaka, mkpịsịaka abụọ, mpi gasị, ọtanjele ahụ maka ọcha-ndịna etiti
🤘🏽	aka, akara nke mpi gasị, akara nke mpi gasị: ọtanjele ahụ ndịna etiti, mkpịsịaka, mkpịsịaka abụọ, mpi gasị, ọtanjele ahụ ndịna etiti
🤘🏾	aka, akara nke mpi gasị, akara nke mpi gasị: ọtanjele ahụ maka òji-ndịna etiti, mkpịsịaka, mkpịsịaka abụọ, mpi gasị, ọtanjele ahụ maka òji-ndịna etiti
🤘🏿	aka, akara nke mpi gasị, akara nke mpi gasị: ọtanjele ahụ maka òji, mkpịsịaka, mkpịsịaka abụọ, mpi gasị, ọtanjele ahụ maka òji
🤙	aka, kpọọ, kpọọ mụ aka
🤙🏻	aka, kpọọ, kpọọ mụ aka, kpọọ mụ aka: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
🤙🏼	aka, kpọọ, kpọọ mụ aka, kpọọ mụ aka: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🤙🏽	aka, kpọọ, kpọọ mụ aka, kpọọ mụ aka: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
🤙🏾	aka, kpọọ, kpọọ mụ aka, kpọọ mụ aka: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
🤙🏿	aka, kpọọ, kpọọ mụ aka, kpọọ mụ aka: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
👈️	backhand, finger, hand, index, point, àzụaka na-arụ aka akaèkpè
👈🏻	backhand, finger, hand, index, point, àzụaka na-arụ aka akaèkpè, àzụaka na-arụ aka akaèkpè: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
👈🏼	backhand, finger, hand, index, point, àzụaka na-arụ aka akaèkpè, àzụaka na-arụ aka akaèkpè: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
👈🏽	backhand, finger, hand, index, point, àzụaka na-arụ aka akaèkpè, àzụaka na-arụ aka akaèkpè: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
👈🏾	backhand, finger, hand, index, point, àzụaka na-arụ aka akaèkpè, àzụaka na-arụ aka akaèkpè: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
👈🏿	backhand, finger, hand, index, point, àzụaka na-arụ aka akaèkpè, àzụaka na-arụ aka akaèkpè: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
👉️	backhand, finger, hand, index, point, àzụaka na-arụ aka akanri
👉🏻	backhand, finger, hand, index, point, àzụaka na-arụ aka akanri, àzụaka na-arụ aka akanri: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
👉🏼	backhand, finger, hand, index, point, àzụaka na-arụ aka akanri, àzụaka na-arụ aka akanri: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
👉🏽	backhand, finger, hand, index, point, àzụaka na-arụ aka akanri, àzụaka na-arụ aka akanri: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
👉🏾	backhand, finger, hand, index, point, àzụaka na-arụ aka akanri, àzụaka na-arụ aka akanri: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
