🦵🏻	cic, cos, cos: ton cnis geal, géag, ton cnis geal
🦸🏿‍♂	fear, fear-sárlaoch, fear-sárlaoch: ton cnis dorcha, laoch, maith, sárchumhacht, ton cnis dorcha
🦹🏻	an-drochdhuine, an-drochdhuine: ton cnis geal, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis geal
🦹🏼	an-drochdhuine, an-drochdhuine: ton cnis meánach-gheal, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis meánach-gheal
🦹🏽	an-drochdhuine, an-drochdhuine: ton cnis meánach, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis meánach
🦹🏾	an-drochdhuine, an-drochdhuine: ton cnis meánach-dhorcha, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis meánach-dhorcha
🦹🏿	an-drochdhuine, an-drochdhuine: ton cnis dorcha, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis dorcha
🦹🏻‍♀	ban-drochdhuine, ban-drochdhuine: ton cnis geal, bean, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis geal
🦹🏼‍♀	ban-drochdhuine, ban-drochdhuine: ton cnis meánach-gheal, bean, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis meánach-gheal
🦹🏽‍♀	ban-drochdhuine, ban-drochdhuine: ton cnis meánach, bean, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis meánach
🦹🏾‍♀	ban-drochdhuine, ban-drochdhuine: ton cnis meánach-dhorcha, bean, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis meánach-dhorcha
🦹🏿‍♀	ban-drochdhuine, ban-drochdhuine: ton cnis dorcha, bean, coirpeach, drochdhuine, olc, sárchumhacht, ton cnis dorcha
🦹🏻‍♂	coirpeach, drochdhuine, fear, fear-dhrochdhuine, fear-dhrochdhuine: ton cnis geal, olc, sárchumhacht, ton cnis geal
🦹🏼‍♂	coirpeach, drochdhuine, fear, fear-dhrochdhuine, fear-dhrochdhuine: ton cnis meánach-gheal, olc, sárchumhacht, ton cnis meánach-gheal
🦹🏽‍♂	coirpeach, drochdhuine, fear, fear-dhrochdhuine, fear-dhrochdhuine: ton cnis meánach, olc, sárchumhacht, ton cnis meánach
🦹🏾‍♂	coirpeach, drochdhuine, fear, fear-dhrochdhuine, fear-dhrochdhuine: ton cnis meánach-dhorcha, olc, sárchumhacht, ton cnis meánach-dhorcha
🦹🏿‍♂	coirpeach, drochdhuine, fear, fear-dhrochdhuine, fear-dhrochdhuine: ton cnis dorcha, olc, sárchumhacht, ton cnis dorcha
👶🏻	babaí, babaí: ton cnis geal, duine, ton cnis geal
👶🏼	babaí, babaí: ton cnis meánach-gheal, duine, ton cnis meánach-gheal
👶🏽	babaí, babaí: ton cnis meánach, duine, ton cnis meánach
👶🏾	babaí, babaí: ton cnis meánach-dhorcha, duine, ton cnis meánach-dhorcha
👶🏿	babaí, babaí: ton cnis dorcha, duine, ton cnis dorcha
🧒🏻	leanbh, leanbh: ton cnis geal, neodrach ó thaobh inscne de, ton cnis geal, óg
🧒🏼	leanbh, leanbh: ton cnis meánach-gheal, neodrach ó thaobh inscne de, ton cnis meánach-gheal, óg
🧒🏽	leanbh, leanbh: ton cnis meánach, neodrach ó thaobh inscne de, ton cnis meánach, óg
🧒🏾	leanbh, leanbh: ton cnis meánach-dhorcha, neodrach ó thaobh inscne de, ton cnis meánach-dhorcha, óg
🧒🏿	leanbh, leanbh: ton cnis dorcha, neodrach ó thaobh inscne de, ton cnis dorcha, óg
👦🏻	buachaill, buachaill: ton cnis geal, duine, ton cnis geal
👦🏼	buachaill, buachaill: ton cnis meánach-gheal, duine, ton cnis meánach-gheal
👦🏽	buachaill, buachaill: ton cnis meánach, duine, ton cnis meánach
👦🏾	buachaill, buachaill: ton cnis meánach-dhorcha, duine, ton cnis meánach-dhorcha
👦🏿	buachaill, buachaill: ton cnis dorcha, duine, ton cnis dorcha
👧🏻	cailín, cailín: ton cnis geal, duine, ton cnis geal
👧🏼	cailín, cailín: ton cnis meánach-gheal, duine, ton cnis meánach-gheal
👧🏽	cailín, cailín: ton cnis meánach, duine, ton cnis meánach
👧🏾	cailín, cailín: ton cnis meánach-dhorcha, duine, ton cnis meánach-dhorcha
👧🏿	cailín, cailín: ton cnis dorcha, duine, ton cnis dorcha
🧑🏻	aosach, aosach: ton cnis geal, duine fásta, ton cnis geal
🧑🏼	aosach, aosach: ton cnis meánach-gheal, duine fásta, ton cnis meánach-gheal
🧑🏽	aosach, aosach: ton cnis meánach, duine fásta, ton cnis meánach
🧑🏾	aosach, aosach: ton cnis meánach-dhorcha, duine fásta, ton cnis meánach-dhorcha
🧑🏿	aosach, aosach: ton cnis dorcha, duine fásta, ton cnis dorcha
👨🏻	duine, fear, fear: ton cnis geal, ton cnis geal
👨🏼	duine, fear, fear: ton cnis meánach-gheal, ton cnis meánach-gheal
👨🏽	duine, fear, fear: ton cnis meánach, ton cnis meánach
👨🏾	duine, fear, fear: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👨🏿	duine, fear, fear: ton cnis dorcha, ton cnis dorcha
👨‍🦰	duine, fear, fear: gruaig rua, gruaig rua
👨🏻‍🦰	duine, fear, fear: ton cnis geal, gruaig rua, gruaig rua, ton cnis geal
👨🏼‍🦰	duine, fear, fear: ton cnis meánach-gheal, gruaig rua, gruaig rua, ton cnis meánach-gheal
👨🏽‍🦰	duine, fear, fear: ton cnis meánach, gruaig rua, gruaig rua, ton cnis meánach
👨🏾‍🦰	duine, fear, fear: ton cnis meánach-dhorcha, gruaig rua, gruaig rua, ton cnis meánach-dhorcha
👨🏿‍🦰	duine, fear, fear: ton cnis dorcha, gruaig rua, gruaig rua, ton cnis dorcha
👨‍🦱	duine, fear, fear: gruaig chatach, gruaig chatach
👨🏻‍🦱	duine, fear, fear: ton cnis geal, gruaig chatach, gruaig chatach, ton cnis geal
👨🏼‍🦱	duine, fear, fear: ton cnis meánach-gheal, gruaig chatach, gruaig chatach, ton cnis meánach-gheal
👨🏽‍🦱	duine, fear, fear: ton cnis meánach, gruaig chatach, gruaig chatach, ton cnis meánach
👨🏾‍🦱	duine, fear, fear: ton cnis meánach-dhorcha, gruaig chatach, gruaig chatach, ton cnis meánach-dhorcha
👨🏿‍🦱	duine, fear, fear: ton cnis dorcha, gruaig chatach, gruaig chatach, ton cnis dorcha
👨‍🦲	duine, fear, fear: maol, maol
👨🏻‍🦲	duine, fear, fear: ton cnis geal, maol, maol, ton cnis geal
👨🏼‍🦲	duine, fear, fear: ton cnis meánach-gheal, maol, maol, ton cnis meánach-gheal
👨🏽‍🦲	duine, fear, fear: ton cnis meánach, maol, maol, ton cnis meánach
👨🏾‍🦲	duine, fear, fear: ton cnis meánach-dhorcha, maol, maol, ton cnis meánach-dhorcha
👨🏿‍🦲	duine, fear, fear: ton cnis dorcha, maol, maol, ton cnis dorcha
👨‍🦳	duine, fear, fear: gruaig bhán, gruaig bhán
👨🏻‍🦳	duine, fear, fear: ton cnis geal, gruaig bhán, gruaig bhán, ton cnis geal
👨🏼‍🦳	duine, fear, fear: ton cnis meánach-gheal, gruaig bhán, gruaig bhán, ton cnis meánach-gheal
👨🏽‍🦳	duine, fear, fear: ton cnis meánach, gruaig bhán, gruaig bhán, ton cnis meánach
👨🏾‍🦳	duine, fear, fear: ton cnis meánach-dhorcha, gruaig bhán, gruaig bhán, ton cnis meánach-dhorcha
👨🏿‍🦳	duine, fear, fear: ton cnis dorcha, gruaig bhán, gruaig bhán, ton cnis dorcha
👩🏻	bean, bean: ton cnis geal, duine, ton cnis geal
👩🏼	bean, bean: ton cnis meánach-gheal, duine, ton cnis meánach-gheal
👩🏽	bean, bean: ton cnis meánach, duine, ton cnis meánach
👩🏾	bean, bean: ton cnis meánach-dhorcha, duine, ton cnis meánach-dhorcha
👩🏿	bean, bean: ton cnis dorcha, duine, ton cnis dorcha
👩‍🦰	bean, bean: gruaig rua, duine, gruaig rua
👩🏻‍🦰	bean, bean: ton cnis geal, gruaig rua, duine, gruaig rua, ton cnis geal
👩🏼‍🦰	bean, bean: ton cnis meánach-gheal, gruaig rua, duine, gruaig rua, ton cnis meánach-gheal
👩🏽‍🦰	bean, bean: ton cnis meánach, gruaig rua, duine, gruaig rua, ton cnis meánach
👩🏾‍🦰	bean, bean: ton cnis meánach-dhorcha, gruaig rua, duine, gruaig rua, ton cnis meánach-dhorcha
👩🏿‍🦰	bean, bean: ton cnis dorcha, gruaig rua, duine, gruaig rua, ton cnis dorcha
👩‍🦱	bean, bean: gruaig chatach, duine, gruaig chatach
👩🏻‍🦱	bean, bean: ton cnis geal, gruaig chatach, duine, gruaig chatach, ton cnis geal
👩🏼‍🦱	bean, bean: ton cnis meánach-gheal, gruaig chatach, duine, gruaig chatach, ton cnis meánach-gheal
👩🏽‍🦱	bean, bean: ton cnis meánach, gruaig chatach, duine, gruaig chatach, ton cnis meánach
👩🏾‍🦱	bean, bean: ton cnis meánach-dhorcha, gruaig chatach, duine, gruaig chatach, ton cnis meánach-dhorcha
👩🏿‍🦱	bean, bean: ton cnis dorcha, gruaig chatach, duine, gruaig chatach, ton cnis dorcha
👩‍🦲	bean, bean: maol, duine, maol
👩🏻‍🦲	bean, bean: ton cnis geal, maol, duine, maol, ton cnis geal
👩🏼‍🦲	bean, bean: ton cnis meánach-gheal, maol, duine, maol, ton cnis meánach-gheal
👩🏽‍🦲	bean, bean: ton cnis meánach, maol, duine, maol, ton cnis meánach
👩🏾‍🦲	bean, bean: ton cnis meánach-dhorcha, maol, duine, maol, ton cnis meánach-dhorcha
👩🏿‍🦲	bean, bean: ton cnis dorcha, maol, duine, maol, ton cnis dorcha
👩‍🦳	bean, bean: gruaig bhán, duine, gruaig bhán
👩🏻‍🦳	bean, bean: ton cnis geal, gruaig bhán, duine, gruaig bhán, ton cnis geal
👩🏼‍🦳	bean, bean: ton cnis meánach-gheal, gruaig bhán, duine, gruaig bhán, ton cnis meánach-gheal
👩🏽‍🦳	bean, bean: ton cnis meánach, gruaig bhán, duine, gruaig bhán, ton cnis meánach
👩🏾‍🦳	bean, bean: ton cnis meánach-dhorcha, gruaig bhán, duine, gruaig bhán, ton cnis meánach-dhorcha
👩🏿‍🦳	bean, bean: ton cnis dorcha, gruaig bhán, duine, gruaig bhán, ton cnis dorcha
🧓🏻	duine, sean, seanduine, seanduine: ton cnis geal, ton cnis geal
🧓🏼	duine, sean, seanduine, seanduine: ton cnis meánach-gheal, ton cnis meánach-gheal
🧓🏽	duine, sean, seanduine, seanduine: ton cnis meánach, ton cnis meánach
🧓🏾	duine, sean, seanduine, seanduine: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧓🏿	duine, sean, seanduine, seanduine: ton cnis dorcha, ton cnis dorcha
👴🏻	fear, fear aosta, seanfhear, seanfhear: ton cnis geal, ton cnis geal
👴🏼	fear, fear aosta, seanfhear, seanfhear: ton cnis meánach-gheal, ton cnis meánach-gheal
👴🏽	fear, fear aosta, seanfhear, seanfhear: ton cnis meánach, ton cnis meánach
👴🏾	fear, fear aosta, seanfhear, seanfhear: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👴🏿	fear, fear aosta, seanfhear, seanfhear: ton cnis dorcha, ton cnis dorcha
👵🏻	bean, bean aosta, seanbhean, seanbhean: ton cnis geal, ton cnis geal
👵🏼	bean, bean aosta, seanbhean, seanbhean: ton cnis meánach-gheal, ton cnis meánach-gheal
👵🏽	bean, bean aosta, seanbhean, seanbhean: ton cnis meánach, ton cnis meánach
👵🏾	bean, bean aosta, seanbhean, seanbhean: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👵🏿	bean, bean aosta, seanbhean, seanbhean: ton cnis dorcha, ton cnis dorcha
👨🏻‍⚕	altra fir, cúram sláinte, dochtúir, fear, fearann, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis geal, teiripeoir, ton cnis geal
👨🏼‍⚕	altra fir, cúram sláinte, dochtúir, fear, fearann, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis meánach-gheal, teiripeoir, ton cnis meánach-gheal
👨🏽‍⚕	altra fir, cúram sláinte, dochtúir, fear, fearann, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis meánach, teiripeoir, ton cnis meánach
👨🏾‍⚕	altra fir, cúram sláinte, dochtúir, fear, fearann, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis meánach-dhorcha, teiripeoir, ton cnis meánach-dhorcha
👨🏿‍⚕	altra fir, cúram sláinte, dochtúir, fear, fearann, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis dorcha, teiripeoir, ton cnis dorcha
👩🏻‍⚕	baineann, banaltra, bean, cúram sláinte, dochtúir, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis geal, teiripeoir, ton cnis geal
👩🏼‍⚕	baineann, banaltra, bean, cúram sláinte, dochtúir, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis meánach-gheal, teiripeoir, ton cnis meánach-gheal
👩🏽‍⚕	baineann, banaltra, bean, cúram sláinte, dochtúir, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis meánach, teiripeoir, ton cnis meánach
👩🏾‍⚕	baineann, banaltra, bean, cúram sláinte, dochtúir, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis meánach-dhorcha, teiripeoir, ton cnis meánach-dhorcha
👩🏿‍⚕	baineann, banaltra, bean, cúram sláinte, dochtúir, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis dorcha, teiripeoir, ton cnis dorcha
👨🏻‍🎓	coláisteánach, céimí, fear, fearann, scoláire fir, scoláire fireann, scoláire fireann: ton cnis geal, ton cnis geal
👨🏼‍🎓	coláisteánach, céimí, fear, fearann, scoláire fir, scoláire fireann, scoláire fireann: ton cnis meánach-gheal, ton cnis meánach-gheal
👨🏽‍🎓	coláisteánach, céimí, fear, fearann, scoláire fir, scoláire fireann, scoláire fireann: ton cnis meánach, ton cnis meánach
👨🏾‍🎓	coláisteánach, céimí, fear, fearann, scoláire fir, scoláire fireann, scoláire fireann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👨🏿‍🎓	coláisteánach, céimí, fear, fearann, scoláire fir, scoláire fireann, scoláire fireann: ton cnis dorcha, ton cnis dorcha
👩🏻‍🎓	baineann, bean, coláisteánach, céimí, scoláire baineann, scoláire baineann: ton cnis geal, ton cnis geal
👩🏼‍🎓	baineann, bean, coláisteánach, céimí, scoláire baineann, scoláire baineann: ton cnis meánach-gheal, ton cnis meánach-gheal
👩🏽‍🎓	baineann, bean, coláisteánach, céimí, scoláire baineann, scoláire baineann: ton cnis meánach, ton cnis meánach
👩🏾‍🎓	baineann, bean, coláisteánach, céimí, scoláire baineann, scoláire baineann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👩🏿‍🎓	baineann, bean, coláisteánach, céimí, scoláire baineann, scoláire baineann: ton cnis dorcha, ton cnis dorcha
👨🏻‍🏫	fear, fearann, múinteoir, múinteoir fireann, múinteoir fireann: ton cnis geal, ollamh, teagascóir, ton cnis geal
👨🏼‍🏫	fear, fearann, múinteoir, múinteoir fireann, múinteoir fireann: ton cnis meánach-gheal, ollamh, teagascóir, ton cnis meánach-gheal
👨🏽‍🏫	fear, fearann, múinteoir, múinteoir fireann, múinteoir fireann: ton cnis meánach, ollamh, teagascóir, ton cnis meánach
👨🏾‍🏫	fear, fearann, múinteoir, múinteoir fireann, múinteoir fireann: ton cnis meánach-dhorcha, ollamh, teagascóir, ton cnis meánach-dhorcha
👨🏿‍🏫	fear, fearann, múinteoir, múinteoir fireann, múinteoir fireann: ton cnis dorcha, ollamh, teagascóir, ton cnis dorcha
👩🏻‍🏫	baineann, bean, múinteoir, múinteoir baineann: ton cnis geal, ollamh, teagascóir, ton cnis geal
👩🏼‍🏫	baineann, bean, múinteoir, múinteoir baineann: ton cnis meánach-gheal, ollamh, teagascóir, ton cnis meánach-gheal
👩🏽‍🏫	baineann, bean, múinteoir, múinteoir baineann: ton cnis meánach, ollamh, teagascóir, ton cnis meánach
👩🏾‍🏫	baineann, bean, múinteoir, múinteoir baineann: ton cnis meánach-dhorcha, ollamh, teagascóir, ton cnis meánach-dhorcha
👩🏿‍🏫	baineann, bean, múinteoir, múinteoir baineann: ton cnis dorcha, ollamh, teagascóir, ton cnis dorcha
👨🏻‍⚖	breitheamh fireann, breitheamh fireann: ton cnis geal, cóir, fear, fearann, scálaí, ton cnis geal
👨🏼‍⚖	breitheamh fireann, breitheamh fireann: ton cnis meánach-gheal, cóir, fear, fearann, scálaí, ton cnis meánach-gheal
👨🏽‍⚖	breitheamh fireann, breitheamh fireann: ton cnis meánach, cóir, fear, fearann, scálaí, ton cnis meánach
👨🏾‍⚖	breitheamh fireann, breitheamh fireann: ton cnis meánach-dhorcha, cóir, fear, fearann, scálaí, ton cnis meánach-dhorcha
👨🏿‍⚖	breitheamh fireann, breitheamh fireann: ton cnis dorcha, cóir, fear, fearann, scálaí, ton cnis dorcha
👩🏻‍⚖	baineann, bean, breitheamh baineann, breitheamh baineann: ton cnis geal, cóir, scálaí, ton cnis geal
👩🏼‍⚖	baineann, bean, breitheamh baineann, breitheamh baineann: ton cnis meánach-gheal, cóir, scálaí, ton cnis meánach-gheal
👩🏽‍⚖	baineann, bean, breitheamh baineann, breitheamh baineann: ton cnis meánach, cóir, scálaí, ton cnis meánach
👩🏾‍⚖	baineann, bean, breitheamh baineann, breitheamh baineann: ton cnis meánach-dhorcha, cóir, scálaí, ton cnis meánach-dhorcha
👩🏿‍⚖	baineann, bean, breitheamh baineann, breitheamh baineann: ton cnis dorcha, cóir, scálaí, ton cnis dorcha
👨🏻‍🌾	fear, fearann, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis geal, garraíodóir, rainseoir, ton cnis geal
👨🏼‍🌾	fear, fearann, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis meánach-gheal, garraíodóir, rainseoir, ton cnis meánach-gheal
👨🏽‍🌾	fear, fearann, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis meánach, garraíodóir, rainseoir, ton cnis meánach
👨🏾‍🌾	fear, fearann, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis meánach-dhorcha, garraíodóir, rainseoir, ton cnis meánach-dhorcha
👨🏿‍🌾	fear, fearann, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis dorcha, garraíodóir, rainseoir, ton cnis dorcha
👩🏻‍🌾	baineann, bean, feirmeoir, feirmeoir baineann: ton cnis geal, garraíodóir, rainseoir, ton cnis geal
👩🏼‍🌾	baineann, bean, feirmeoir, feirmeoir baineann: ton cnis meánach-gheal, garraíodóir, rainseoir, ton cnis meánach-gheal
👩🏽‍🌾	baineann, bean, feirmeoir, feirmeoir baineann: ton cnis meánach, garraíodóir, rainseoir, ton cnis meánach
👩🏾‍🌾	baineann, bean, feirmeoir, feirmeoir baineann: ton cnis meánach-dhorcha, garraíodóir, rainseoir, ton cnis meánach-dhorcha
👩🏿‍🌾	baineann, bean, feirmeoir, feirmeoir baineann: ton cnis dorcha, garraíodóir, rainseoir, ton cnis dorcha
👨🏻‍🍳	chef, cócaire fireann, cócaire fireann: ton cnis geal, cócaráil, fear, fearann, ton cnis geal
👨🏼‍🍳	chef, cócaire fireann, cócaire fireann: ton cnis meánach-gheal, cócaráil, fear, fearann, ton cnis meánach-gheal
👨🏽‍🍳	chef, cócaire fireann, cócaire fireann: ton cnis meánach, cócaráil, fear, fearann, ton cnis meánach
👨🏾‍🍳	chef, cócaire fireann, cócaire fireann: ton cnis meánach-dhorcha, cócaráil, fear, fearann, ton cnis meánach-dhorcha
👨🏿‍🍳	chef, cócaire fireann, cócaire fireann: ton cnis dorcha, cócaráil, fear, fearann, ton cnis dorcha
👩🏻‍🍳	baineann, bean, chef, cócaire baineann, cócaire baineann: ton cnis geal, cócaráil, ton cnis geal
👩🏼‍🍳	baineann, bean, chef, cócaire baineann, cócaire baineann: ton cnis meánach-gheal, cócaráil, ton cnis meánach-gheal
👩🏽‍🍳	baineann, bean, chef, cócaire baineann, cócaire baineann: ton cnis meánach, cócaráil, ton cnis meánach
👩🏾‍🍳	baineann, bean, chef, cócaire baineann, cócaire baineann: ton cnis meánach-dhorcha, cócaráil, ton cnis meánach-dhorcha
👩🏿‍🍳	baineann, bean, chef, cócaire baineann, cócaire baineann: ton cnis dorcha, cócaráil, ton cnis dorcha
👨🏻‍🔧	ceardaí, fear, fearann, leictreoir, meicneoir, meicneoir fireann, meicneoir fireann: ton cnis geal, pluiméir, ton cnis geal
👨🏼‍🔧	ceardaí, fear, fearann, leictreoir, meicneoir, meicneoir fireann, meicneoir fireann: ton cnis meánach-gheal, pluiméir, ton cnis meánach-gheal
👨🏽‍🔧	ceardaí, fear, fearann, leictreoir, meicneoir, meicneoir fireann, meicneoir fireann: ton cnis meánach, pluiméir, ton cnis meánach
👨🏾‍🔧	ceardaí, fear, fearann, leictreoir, meicneoir, meicneoir fireann, meicneoir fireann: ton cnis meánach-dhorcha, pluiméir, ton cnis meánach-dhorcha
👨🏿‍🔧	ceardaí, fear, fearann, leictreoir, meicneoir, meicneoir fireann, meicneoir fireann: ton cnis dorcha, pluiméir, ton cnis dorcha
👩🏻‍🔧	baineann, bean, ceardaí, leictreoir, meicneoir, meicneoir baineann: ton cnis geal, pluiméir, ton cnis geal
👩🏼‍🔧	baineann, bean, ceardaí, leictreoir, meicneoir, meicneoir baineann: ton cnis meánach-gheal, pluiméir, ton cnis meánach-gheal
👩🏽‍🔧	baineann, bean, ceardaí, leictreoir, meicneoir, meicneoir baineann: ton cnis meánach, pluiméir, ton cnis meánach
👩🏾‍🔧	baineann, bean, ceardaí, leictreoir, meicneoir, meicneoir baineann: ton cnis meánach-dhorcha, pluiméir, ton cnis meánach-dhorcha
👩🏿‍🔧	baineann, bean, ceardaí, leictreoir, meicneoir, meicneoir baineann: ton cnis dorcha, pluiméir, ton cnis dorcha
👨🏻‍🏭	cóimeáil, fear, fearann, monarcha, oibrí, oibrí monarchan fireann, oibrí monarchan fireann: ton cnis geal, tionscail, ton cnis geal
👨🏼‍🏭	cóimeáil, fear, fearann, monarcha, oibrí, oibrí monarchan fireann, oibrí monarchan fireann: ton cnis meánach-gheal, tionscail, ton cnis meánach-gheal
👨🏽‍🏭	cóimeáil, fear, fearann, monarcha, oibrí, oibrí monarchan fireann, oibrí monarchan fireann: ton cnis meánach, tionscail, ton cnis meánach
👨🏾‍🏭	cóimeáil, fear, fearann, monarcha, oibrí, oibrí monarchan fireann, oibrí monarchan fireann: ton cnis meánach-dhorcha, tionscail, ton cnis meánach-dhorcha
👨🏿‍🏭	cóimeáil, fear, fearann, monarcha, oibrí, oibrí monarchan fireann, oibrí monarchan fireann: ton cnis dorcha, tionscail, ton cnis dorcha
👩🏻‍🏭	baineann, bean, cóimeáil, monarcha, oibrí, oibrí monarchan baineann, oibrí monarchan baineann: ton cnis geal, tionscail, ton cnis geal
👩🏼‍🏭	baineann, bean, cóimeáil, monarcha, oibrí, oibrí monarchan baineann, oibrí monarchan baineann: ton cnis meánach-gheal, tionscail, ton cnis meánach-gheal
👩🏽‍🏭	baineann, bean, cóimeáil, monarcha, oibrí, oibrí monarchan baineann, oibrí monarchan baineann: ton cnis meánach, tionscail, ton cnis meánach
👩🏾‍🏭	baineann, bean, cóimeáil, monarcha, oibrí, oibrí monarchan baineann, oibrí monarchan baineann: ton cnis meánach-dhorcha, tionscail, ton cnis meánach-dhorcha
👩🏿‍🏭	baineann, bean, cóimeáil, monarcha, oibrí, oibrí monarchan baineann, oibrí monarchan baineann: ton cnis dorcha, tionscail, ton cnis dorcha
👨🏻‍💼	ailtire, bainisteoir, bóna bán, fear, gnó, oibrí oifige fireann, oibrí oifige fireann: ton cnis geal, ton cnis geal
👨🏼‍💼	ailtire, bainisteoir, bóna bán, fear, gnó, oibrí oifige fireann, oibrí oifige fireann: ton cnis meánach-gheal, ton cnis meánach-gheal
👨🏽‍💼	ailtire, bainisteoir, bóna bán, fear, gnó, oibrí oifige fireann, oibrí oifige fireann: ton cnis meánach, ton cnis meánach
👨🏾‍💼	ailtire, bainisteoir, bóna bán, fear, gnó, oibrí oifige fireann, oibrí oifige fireann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👨🏿‍💼	ailtire, bainisteoir, bóna bán, fear, gnó, oibrí oifige fireann, oibrí oifige fireann: ton cnis dorcha, ton cnis dorcha
👩🏻‍💼	ailtire, bainisteoir, bean, bóna bán, gnó, oibrí oifige baineann, oibrí oifige baineann: ton cnis geal, ton cnis geal
👩🏼‍💼	ailtire, bainisteoir, bean, bóna bán, gnó, oibrí oifige baineann, oibrí oifige baineann: ton cnis meánach-gheal, ton cnis meánach-gheal
👩🏽‍💼	ailtire, bainisteoir, bean, bóna bán, gnó, oibrí oifige baineann, oibrí oifige baineann: ton cnis meánach, ton cnis meánach
