🦵🏻	karnacja jasna, kopniak, kończyna, noga, noga: karnacja jasna
🦹🏾‍♂	czarny bohater, karnacja średnio ciemna, mężczyzna, mężczyzna superłotr, mężczyzna superłotr: karnacja średnio ciemna, przestępca, supermoc, złoczyńca
🦹🏿‍♂	czarny bohater, karnacja ciemna, mężczyzna, mężczyzna superłotr, mężczyzna superłotr: karnacja ciemna, przestępca, supermoc, złoczyńca
👶🏻	dziecko, karnacja jasna, niemowlę, niemowlę: karnacja jasna
👶🏼	dziecko, karnacja średnio jasna, niemowlę, niemowlę: karnacja średnio jasna
👶🏽	dziecko, karnacja średnia, niemowlę, niemowlę: karnacja średnia
👶🏾	dziecko, karnacja średnio ciemna, niemowlę, niemowlę: karnacja średnio ciemna
👶🏿	dziecko, karnacja ciemna, niemowlę, niemowlę: karnacja ciemna
🧒🏻	dziecko, dziecko: karnacja jasna, karnacja jasna, młody, płeć neutralna
🧒🏼	dziecko, dziecko: karnacja średnio jasna, karnacja średnio jasna, młody, płeć neutralna
🧒🏽	dziecko, dziecko: karnacja średnia, karnacja średnia, młody, płeć neutralna
🧒🏾	dziecko, dziecko: karnacja średnio ciemna, karnacja średnio ciemna, młody, płeć neutralna
🧒🏿	dziecko, dziecko: karnacja ciemna, karnacja ciemna, młody, płeć neutralna
👦🏻	chłopiec, chłopiec: karnacja jasna, karnacja jasna
👦🏼	chłopiec, chłopiec: karnacja średnio jasna, karnacja średnio jasna
👦🏽	chłopiec, chłopiec: karnacja średnia, karnacja średnia
👦🏾	chłopiec, chłopiec: karnacja średnio ciemna, karnacja średnio ciemna
👦🏿	chłopiec, chłopiec: karnacja ciemna, karnacja ciemna
👧🏻	dziewczynka, dziewczynka: karnacja jasna, dziewica, karnacja jasna, panna, zodiak
👧🏼	dziewczynka, dziewczynka: karnacja średnio jasna, dziewica, karnacja średnio jasna, panna, zodiak
👧🏽	dziewczynka, dziewczynka: karnacja średnia, dziewica, karnacja średnia, panna, zodiak
👧🏾	dziewczynka, dziewczynka: karnacja średnio ciemna, dziewica, karnacja średnio ciemna, panna, zodiak
👧🏿	dziewczynka, dziewczynka: karnacja ciemna, dziewica, karnacja ciemna, panna, zodiak
🧑🏻	dorosły, dorosły: karnacja jasna, karnacja jasna, płeć neutralna
🧑🏼	dorosły, dorosły: karnacja średnio jasna, karnacja średnio jasna, płeć neutralna
🧑🏽	dorosły, dorosły: karnacja średnia, karnacja średnia, płeć neutralna
🧑🏾	dorosły, dorosły: karnacja średnio ciemna, karnacja średnio ciemna, płeć neutralna
🧑🏿	dorosły, dorosły: karnacja ciemna, karnacja ciemna, płeć neutralna
👨🏻	karnacja jasna, mężczyzna, mężczyzna: karnacja jasna
👨🏼	karnacja średnio jasna, mężczyzna, mężczyzna: karnacja średnio jasna
👨🏽	karnacja średnia, mężczyzna, mężczyzna: karnacja średnia
👨🏾	karnacja średnio ciemna, mężczyzna, mężczyzna: karnacja średnio ciemna
👨🏿	karnacja ciemna, mężczyzna, mężczyzna: karnacja ciemna
👨‍🦰	mężczyzna, mężczyzna: rude włosy, rude włosy
👨🏻‍🦰	karnacja jasna, mężczyzna, mężczyzna: karnacja jasna i rude włosy, rude włosy
👨🏼‍🦰	karnacja średnio jasna, mężczyzna, mężczyzna: karnacja średnio jasna i rude włosy, rude włosy
👨🏽‍🦰	karnacja średnia, mężczyzna, mężczyzna: karnacja średnia i rude włosy, rude włosy
👨🏾‍🦰	karnacja średnio ciemna, mężczyzna, mężczyzna: karnacja średnio ciemna i rude włosy, rude włosy
👨🏿‍🦰	karnacja ciemna, mężczyzna, mężczyzna: karnacja ciemna i rude włosy, rude włosy
👨‍🦱	kręcone włosy, mężczyzna, mężczyzna: kręcone włosy
👨🏻‍🦱	karnacja jasna, kręcone włosy, mężczyzna, mężczyzna: karnacja jasna i kręcone włosy
👨🏼‍🦱	karnacja średnio jasna, kręcone włosy, mężczyzna, mężczyzna: karnacja średnio jasna i kręcone włosy
👨🏽‍🦱	karnacja średnia, kręcone włosy, mężczyzna, mężczyzna: karnacja średnia i kręcone włosy
👨🏾‍🦱	karnacja średnio ciemna, kręcone włosy, mężczyzna, mężczyzna: karnacja średnio ciemna i kręcone włosy
👨🏿‍🦱	karnacja ciemna, kręcone włosy, mężczyzna, mężczyzna: karnacja ciemna i kręcone włosy
👨‍🦲	mężczyzna, mężczyzna: łysy, łysy
👨🏻‍🦲	karnacja jasna, mężczyzna, mężczyzna: karnacja jasna i łysy, łysy
👨🏼‍🦲	karnacja średnio jasna, mężczyzna, mężczyzna: karnacja średnio jasna i łysy, łysy
👨🏽‍🦲	karnacja średnia, mężczyzna, mężczyzna: karnacja średnia i łysy, łysy
👨🏾‍🦲	karnacja średnio ciemna, mężczyzna, mężczyzna: karnacja średnio ciemna i łysy, łysy
👨🏿‍🦲	karnacja ciemna, mężczyzna, mężczyzna: karnacja ciemna i łysy, łysy
👨‍🦳	białe włosy, mężczyzna, mężczyzna: białe włosy
👨🏻‍🦳	białe włosy, karnacja jasna, mężczyzna, mężczyzna: karnacja jasna i białe włosy
👨🏼‍🦳	białe włosy, karnacja średnio jasna, mężczyzna, mężczyzna: karnacja średnio jasna i białe włosy
👨🏽‍🦳	białe włosy, karnacja średnia, mężczyzna, mężczyzna: karnacja średnia i białe włosy
👨🏾‍🦳	białe włosy, karnacja średnio ciemna, mężczyzna, mężczyzna: karnacja średnio ciemna i białe włosy
👨🏿‍🦳	białe włosy, karnacja ciemna, mężczyzna, mężczyzna: karnacja ciemna i białe włosy
👩🏻	karnacja jasna, kobieta, kobieta: karnacja jasna
👩🏼	karnacja średnio jasna, kobieta, kobieta: karnacja średnio jasna
👩🏽	karnacja średnia, kobieta, kobieta: karnacja średnia
👩🏾	karnacja średnio ciemna, kobieta, kobieta: karnacja średnio ciemna
👩🏿	karnacja ciemna, kobieta, kobieta: karnacja ciemna
👩‍🦰	kobieta, kobieta: rude włosy, rude włosy
👩🏻‍🦰	karnacja jasna, kobieta, kobieta: karnacja jasna i rude włosy, rude włosy
👩🏼‍🦰	karnacja średnio jasna, kobieta, kobieta: karnacja średnio jasna i rude włosy, rude włosy
👩🏽‍🦰	karnacja średnia, kobieta, kobieta: karnacja średnia i rude włosy, rude włosy
👩🏾‍🦰	karnacja średnio ciemna, kobieta, kobieta: karnacja średnio ciemna i rude włosy, rude włosy
👩🏿‍🦰	karnacja ciemna, kobieta, kobieta: karnacja ciemna i rude włosy, rude włosy
👩‍🦱	kobieta, kobieta: kręcone włosy, kręcone włosy
👩🏻‍🦱	karnacja jasna, kobieta, kobieta: karnacja jasna i kręcone włosy, kręcone włosy
👩🏼‍🦱	karnacja średnio jasna, kobieta, kobieta: karnacja średnio jasna i kręcone włosy, kręcone włosy
👩🏽‍🦱	karnacja średnia, kobieta, kobieta: karnacja średnia i kręcone włosy, kręcone włosy
👩🏾‍🦱	karnacja średnio ciemna, kobieta, kobieta: karnacja średnio ciemna i kręcone włosy, kręcone włosy
👩🏿‍🦱	karnacja ciemna, kobieta, kobieta: karnacja ciemna i kręcone włosy, kręcone włosy
👩‍🦲	kobieta, kobieta: łysy, łysy
👩🏻‍🦲	karnacja jasna, kobieta, kobieta: karnacja jasna i łysy, łysy
👩🏼‍🦲	karnacja średnio jasna, kobieta, kobieta: karnacja średnio jasna i łysy, łysy
👩🏽‍🦲	karnacja średnia, kobieta, kobieta: karnacja średnia i łysy, łysy
👩🏾‍🦲	karnacja średnio ciemna, kobieta, kobieta: karnacja średnio ciemna i łysy, łysy
👩🏿‍🦲	karnacja ciemna, kobieta, kobieta: karnacja ciemna i łysy, łysy
👩‍🦳	białe włosy, kobieta, kobieta: białe włosy
👩🏻‍🦳	białe włosy, karnacja jasna, kobieta, kobieta: karnacja jasna i białe włosy
👩🏼‍🦳	białe włosy, karnacja średnio jasna, kobieta, kobieta: karnacja średnio jasna i białe włosy
👩🏽‍🦳	białe włosy, karnacja średnia, kobieta, kobieta: karnacja średnia i białe włosy
👩🏾‍🦳	białe włosy, karnacja średnio ciemna, kobieta, kobieta: karnacja średnio ciemna i białe włosy
👩🏿‍🦳	białe włosy, karnacja ciemna, kobieta, kobieta: karnacja ciemna i białe włosy
🧓🏻	karnacja jasna, płeć neutralna, starszy dorosły, starszy dorosły: karnacja jasna, stary
🧓🏼	karnacja średnio jasna, płeć neutralna, starszy dorosły, starszy dorosły: karnacja średnio jasna, stary
🧓🏽	karnacja średnia, płeć neutralna, starszy dorosły, starszy dorosły: karnacja średnia, stary
🧓🏾	karnacja średnio ciemna, płeć neutralna, starszy dorosły, starszy dorosły: karnacja średnio ciemna, stary
🧓🏿	karnacja ciemna, płeć neutralna, starszy dorosły, starszy dorosły: karnacja ciemna, stary
👴🏻	karnacja jasna, mnich, starszy mężczyzna, starszy mężczyzna: karnacja jasna, staruszek, starzec
👴🏼	karnacja średnio jasna, mnich, starszy mężczyzna, starszy mężczyzna: karnacja średnio jasna, staruszek, starzec
👴🏽	karnacja średnia, mnich, starszy mężczyzna, starszy mężczyzna: karnacja średnia, staruszek, starzec
👴🏾	karnacja średnio ciemna, mnich, starszy mężczyzna, starszy mężczyzna: karnacja średnio ciemna, staruszek, starzec
👴🏿	karnacja ciemna, mnich, starszy mężczyzna, starszy mężczyzna: karnacja ciemna, staruszek, starzec
👵🏻	karnacja jasna, kobieta, starsza kobieta, starsza kobieta: karnacja jasna, staruszka
👵🏼	karnacja średnio jasna, kobieta, starsza kobieta, starsza kobieta: karnacja średnio jasna, staruszka
👵🏽	karnacja średnia, kobieta, starsza kobieta, starsza kobieta: karnacja średnia, staruszka
👵🏾	karnacja średnio ciemna, kobieta, starsza kobieta, starsza kobieta: karnacja średnio ciemna, staruszka
👵🏿	karnacja ciemna, kobieta, starsza kobieta, starsza kobieta: karnacja ciemna, staruszka
👨🏻‍⚕	karnacja jasna, lekarz, lekarz: karnacja jasna, mężczyzna, terapeuta
👨🏼‍⚕	karnacja średnio jasna, lekarz, lekarz: karnacja średnio jasna, mężczyzna, terapeuta
👨🏽‍⚕	karnacja średnia, lekarz, lekarz: karnacja średnia, mężczyzna, terapeuta
👨🏾‍⚕	karnacja średnio ciemna, lekarz, lekarz: karnacja średnio ciemna, mężczyzna, terapeuta
👨🏿‍⚕	karnacja ciemna, lekarz, lekarz: karnacja ciemna, mężczyzna, terapeuta
👩🏻‍⚕	karnacja jasna, kobieta, lekarka, lekarka: karnacja jasna, terapeutka
👩🏼‍⚕	karnacja średnio jasna, kobieta, lekarka, lekarka: karnacja średnio jasna, terapeutka
👩🏽‍⚕	karnacja średnia, kobieta, lekarka, lekarka: karnacja średnia, terapeutka
👩🏾‍⚕	karnacja średnio ciemna, kobieta, lekarka, lekarka: karnacja średnio ciemna, terapeutka
👩🏿‍⚕	karnacja ciemna, kobieta, lekarka, lekarka: karnacja ciemna, terapeutka
👨🏻‍🎓	karnacja jasna, mężczyzna, student, student: karnacja jasna
👨🏼‍🎓	karnacja średnio jasna, mężczyzna, student, student: karnacja średnio jasna
👨🏽‍🎓	karnacja średnia, mężczyzna, student, student: karnacja średnia
👨🏾‍🎓	karnacja średnio ciemna, mężczyzna, student, student: karnacja średnio ciemna
👨🏿‍🎓	karnacja ciemna, mężczyzna, student, student: karnacja ciemna
👩🏻‍🎓	karnacja jasna, kobieta, studentka, studentka: karnacja jasna
👩🏼‍🎓	karnacja średnio jasna, kobieta, studentka, studentka: karnacja średnio jasna
👩🏽‍🎓	karnacja średnia, kobieta, studentka, studentka: karnacja średnia
👩🏾‍🎓	karnacja średnio ciemna, kobieta, studentka, studentka: karnacja średnio ciemna
👩🏿‍🎓	karnacja ciemna, kobieta, studentka, studentka: karnacja ciemna
👨🏻‍🏫	karnacja jasna, mężczyzna, nauczyciel, nauczyciel: karnacja jasna, profesor, wykładowca
👨🏼‍🏫	karnacja średnio jasna, mężczyzna, nauczyciel, nauczyciel: karnacja średnio jasna, profesor, wykładowca
👨🏽‍🏫	karnacja średnia, mężczyzna, nauczyciel, nauczyciel: karnacja średnia, profesor, wykładowca
👨🏾‍🏫	karnacja średnio ciemna, mężczyzna, nauczyciel, nauczyciel: karnacja średnio ciemna, profesor, wykładowca
👨🏿‍🏫	karnacja ciemna, mężczyzna, nauczyciel, nauczyciel: karnacja ciemna, profesor, wykładowca
👩🏻‍🏫	karnacja jasna, kobieta, nauczycielka, nauczycielka: karnacja jasna, profesor, wykładowczyni
👩🏼‍🏫	karnacja średnio jasna, kobieta, nauczycielka, nauczycielka: karnacja średnio jasna, profesor, wykładowczyni
👩🏽‍🏫	karnacja średnia, kobieta, nauczycielka, nauczycielka: karnacja średnia, profesor, wykładowczyni
👩🏾‍🏫	karnacja średnio ciemna, kobieta, nauczycielka, nauczycielka: karnacja średnio ciemna, profesor, wykładowczyni
👩🏿‍🏫	karnacja ciemna, kobieta, nauczycielka, nauczycielka: karnacja ciemna, profesor, wykładowczyni
👨🏻‍⚖	karnacja jasna, mężczyzna, mężczyzna sędzia: karnacja jasna, sędzia
👨🏼‍⚖	karnacja średnio jasna, mężczyzna, mężczyzna sędzia: karnacja średnio jasna, sędzia
👨🏽‍⚖	karnacja średnia, mężczyzna, mężczyzna sędzia: karnacja średnia, sędzia
👨🏾‍⚖	karnacja średnio ciemna, mężczyzna, mężczyzna sędzia: karnacja średnio ciemna, sędzia
👨🏿‍⚖	karnacja ciemna, mężczyzna, mężczyzna sędzia: karnacja ciemna, sędzia
👩🏻‍⚖	karnacja jasna, kobieta, kobieta sędzia, kobieta sędzia: karnacja jasna, sędzina
👩🏼‍⚖	karnacja średnio jasna, kobieta, kobieta sędzia, kobieta sędzia: karnacja średnio jasna, sędzina
👩🏽‍⚖	karnacja średnia, kobieta, kobieta sędzia, kobieta sędzia: karnacja średnia, sędzina
👩🏾‍⚖	karnacja średnio ciemna, kobieta, kobieta sędzia, kobieta sędzia: karnacja średnio ciemna, sędzina
👩🏿‍⚖	karnacja ciemna, kobieta, kobieta sędzia, kobieta sędzia: karnacja ciemna, sędzina
👨🏻‍🌾	farmer, karnacja jasna, mężczyzna, ogrodnik, rolnik, rolnik: karnacja jasna
👨🏼‍🌾	farmer, karnacja średnio jasna, mężczyzna, ogrodnik, rolnik, rolnik: karnacja średnio jasna
👨🏽‍🌾	farmer, karnacja średnia, mężczyzna, ogrodnik, rolnik, rolnik: karnacja średnia
👨🏾‍🌾	farmer, karnacja średnio ciemna, mężczyzna, ogrodnik, rolnik, rolnik: karnacja średnio ciemna
👨🏿‍🌾	farmer, karnacja ciemna, mężczyzna, ogrodnik, rolnik, rolnik: karnacja ciemna
👩🏻‍🌾	farmerka, karnacja jasna, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja jasna
👩🏼‍🌾	farmerka, karnacja średnio jasna, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja średnio jasna
👩🏽‍🌾	farmerka, karnacja średnia, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja średnia
👩🏾‍🌾	farmerka, karnacja średnio ciemna, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja średnio ciemna
👩🏿‍🌾	farmerka, karnacja ciemna, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja ciemna
👨🏻‍🍳	karnacja jasna, kucharz, kucharz: karnacja jasna, mężczyzna, szef kuchni
👨🏼‍🍳	karnacja średnio jasna, kucharz, kucharz: karnacja średnio jasna, mężczyzna, szef kuchni
👨🏽‍🍳	karnacja średnia, kucharz, kucharz: karnacja średnia, mężczyzna, szef kuchni
👨🏾‍🍳	karnacja średnio ciemna, kucharz, kucharz: karnacja średnio ciemna, mężczyzna, szef kuchni
👨🏿‍🍳	karnacja ciemna, kucharz, kucharz: karnacja ciemna, mężczyzna, szef kuchni
👩🏻‍🍳	karnacja jasna, kobieta, kucharka, kucharka: karnacja jasna, szef kuchni
👩🏼‍🍳	karnacja średnio jasna, kobieta, kucharka, kucharka: karnacja średnio jasna, szef kuchni
👩🏽‍🍳	karnacja średnia, kobieta, kucharka, kucharka: karnacja średnia, szef kuchni
👩🏾‍🍳	karnacja średnio ciemna, kobieta, kucharka, kucharka: karnacja średnio ciemna, szef kuchni
👩🏿‍🍳	karnacja ciemna, kobieta, kucharka, kucharka: karnacja ciemna, szef kuchni
👨🏻‍🔧	elektryk, hydraulik, karnacja jasna, mechanik, mężczyzna, mężczyzna elektryk: karnacja jasna
👨🏼‍🔧	elektryk, hydraulik, karnacja średnio jasna, mechanik, mężczyzna, mężczyzna elektryk: karnacja średnio jasna
👨🏽‍🔧	elektryk, hydraulik, karnacja średnia, mechanik, mężczyzna, mężczyzna elektryk: karnacja średnia
👨🏾‍🔧	elektryk, hydraulik, karnacja średnio ciemna, mechanik, mężczyzna, mężczyzna elektryk: karnacja średnio ciemna
👨🏿‍🔧	elektryk, hydraulik, karnacja ciemna, mechanik, mężczyzna, mężczyzna elektryk: karnacja ciemna
👩🏻‍🔧	elektryk, hydraulik, karnacja jasna, kobieta, kobieta elektryk: karnacja jasna, mechanik
👩🏼‍🔧	elektryk, hydraulik, karnacja średnio jasna, kobieta, kobieta elektryk: karnacja średnio jasna, mechanik
👩🏽‍🔧	elektryk, hydraulik, karnacja średnia, kobieta, kobieta elektryk: karnacja średnia, mechanik
👩🏾‍🔧	elektryk, hydraulik, karnacja średnio ciemna, kobieta, kobieta elektryk: karnacja średnio ciemna, mechanik
👩🏿‍🔧	elektryk, hydraulik, karnacja ciemna, kobieta, kobieta elektryk: karnacja ciemna, mechanik
👨🏻‍🏭	fabryka, karnacja jasna, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja jasna
👨🏼‍🏭	fabryka, karnacja średnio jasna, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja średnio jasna
👨🏽‍🏭	fabryka, karnacja średnia, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja średnia
👨🏾‍🏭	fabryka, karnacja średnio ciemna, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja średnio ciemna
👨🏿‍🏭	fabryka, karnacja ciemna, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja ciemna
👩🏻‍🏭	fabryka, karnacja jasna, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja jasna
👩🏼‍🏭	fabryka, karnacja średnio jasna, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja średnio jasna
👩🏽‍🏭	fabryka, karnacja średnia, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja średnia
👩🏾‍🏭	fabryka, karnacja średnio ciemna, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja średnio ciemna
👩🏿‍🏭	fabryka, karnacja ciemna, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja ciemna
👨🏻‍💼	architekt, biuro, biznesmen, karnacja jasna, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja jasna
👨🏼‍💼	architekt, biuro, biznesmen, karnacja średnio jasna, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja średnio jasna
👨🏽‍💼	architekt, biuro, biznesmen, karnacja średnia, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja średnia
👨🏾‍💼	architekt, biuro, biznesmen, karnacja średnio ciemna, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja średnio ciemna
👨🏿‍💼	architekt, biuro, biznesmen, karnacja ciemna, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja ciemna
👩🏻‍💼	architekt, biuro, bizneswoman, karnacja jasna, kobieta, pracownica biurowa, pracownica biurowa: karnacja jasna
👩🏼‍💼	architekt, biuro, bizneswoman, karnacja średnio jasna, kobieta, pracownica biurowa, pracownica biurowa: karnacja średnio jasna
👩🏽‍💼	architekt, biuro, bizneswoman, karnacja średnia, kobieta, pracownica biurowa, pracownica biurowa: karnacja średnia
👩🏾‍💼	architekt, biuro, bizneswoman, karnacja średnio ciemna, kobieta, pracownica biurowa, pracownica biurowa: karnacja średnio ciemna
👩🏿‍💼	architekt, biuro, bizneswoman, karnacja ciemna, kobieta, pracownica biurowa, pracownica biurowa: karnacja ciemna
👨🏻‍🔬	biolog, chemik, inżynier, karnacja jasna, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja jasna
👨🏼‍🔬	biolog, chemik, inżynier, karnacja średnio jasna, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja średnio jasna
👨🏽‍🔬	biolog, chemik, inżynier, karnacja średnia, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja średnia
👨🏾‍🔬	biolog, chemik, inżynier, karnacja średnio ciemna, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja średnio ciemna
👨🏿‍🔬	biolog, chemik, inżynier, karnacja ciemna, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja ciemna
👩🏻‍🔬	biolog, chemik, inżynier, karnacja jasna, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja jasna
👩🏼‍🔬	biolog, chemik, inżynier, karnacja średnio jasna, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja średnio jasna
👩🏽‍🔬	biolog, chemik, inżynier, karnacja średnia, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja średnia
👩🏾‍🔬	biolog, chemik, inżynier, karnacja średnio ciemna, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja średnio ciemna
👩🏿‍🔬	biolog, chemik, inżynier, karnacja ciemna, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja ciemna
👨🏻‍💻	karnacja jasna, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja jasna, oprogramowanie, programista, wynalazca
👨🏼‍💻	karnacja średnio jasna, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja średnio jasna, oprogramowanie, programista, wynalazca
👨🏽‍💻	karnacja średnia, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja średnia, oprogramowanie, programista, wynalazca
👨🏾‍💻	karnacja średnio ciemna, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja średnio ciemna, oprogramowanie, programista, wynalazca
👨🏿‍💻	karnacja ciemna, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja ciemna, oprogramowanie, programista, wynalazca
👩🏻‍💻	karnacja jasna, kobieta, kobieta technolog, kobieta technolog: karnacja jasna, oprogramowanie, programistka, wynalazczyni
👩🏼‍💻	karnacja średnio jasna, kobieta, kobieta technolog, kobieta technolog: karnacja średnio jasna, oprogramowanie, programistka, wynalazczyni
👩🏽‍💻	karnacja średnia, kobieta, kobieta technolog, kobieta technolog: karnacja średnia, oprogramowanie, programistka, wynalazczyni
👩🏾‍💻	karnacja średnio ciemna, kobieta, kobieta technolog, kobieta technolog: karnacja średnio ciemna, oprogramowanie, programistka, wynalazczyni
👩🏿‍💻	karnacja ciemna, kobieta, kobieta technolog, kobieta technolog: karnacja ciemna, oprogramowanie, programistka, wynalazczyni
