،	Arabic, Arabic comma, comma
◞	lower-right quadrant circular arc
◟	lower-left quadrant circular arc
◢	black lower-right triangle, filled lower-right triangle
◣	black lower-left triangle, filled lower-left triangle
◤	black upper-left triangle, filled upper-left triangle
◥	black upper-right triangle, filled upper-right triangle
◯	circle, large hollow circle, large white circle, ring
◳	hollow square with upper-right quadrant, white square with upper-right quadrant
◷	hollow circle with upper-right quadrant, white circle with upper-right quadrant
◿	lower-right triangle, white
⨧	plus sign with subscript two
⨯	vector or cross product
⨼	interior product, mathematics
⩣	logical or with double underbar, mathematics
⩽	inequality, less-than or slanted equal to, mathematics
⪍	less-than above similar or equal
⪚	double-line equal to or greater-than, inequality, mathematics
🙃	face, upside down, upside-down face
😍	eye, face, love, smile, smiling face with heart eyes, smiling face with heart-eyes
😋	delicious, face, face savouring food, savoring, savouring, smile, yum
🤭	face with hand over mouth, oops, whoops
😷	cold, doctor, face, face with medical mask, ill, mask, sick
🤕	bandage, face, face with head bandage, hurt, injury
🤧	bless you, face, gesundheit, sneeze, sneezing face
😵‍💫	dizzy, face with spiral eyes, hypnotised, spiral, trouble, whoa
🫤	disappointed, meh, sceptical, unsure
😤	angry, face, face with steam from nose, frustration, triumph, won
😻	cat, eye, face, heart, love, smile, smiling cat face with heart eyes, smiling cat face with heart-eyes
🗨️	dialogue, left speech bubble, speech
🫱	hand, right, rightward, rightward hand, rightwards
🫱🏻	hand, light skin tone, right, rightward, rightward hand: light skin tone, rightwards
🫱🏼	hand, medium-light skin tone, right, rightward, rightward hand: medium-light skin tone, rightwards
🫱🏽	hand, medium skin tone, right, rightward, rightward hand: medium skin tone, rightwards
🫱🏾	hand, medium-dark skin tone, right, rightward, rightward hand: medium-dark skin tone, rightwards
🫱🏿	dark skin tone, hand, right, rightward, rightward hand: dark skin tone, rightwards
🫲	hand, left, leftward, leftward hand, leftwards
🫲🏻	hand, left, leftward, leftward hand: light skin tone, leftwards, light skin tone
🫲🏼	hand, left, leftward, leftward hand: medium-light skin tone, leftwards, medium-light skin tone
🫲🏽	hand, left, leftward, leftward hand: medium skin tone, leftwards, medium skin tone
🫲🏾	hand, left, leftward, leftward hand: medium-dark skin tone, leftwards, medium-dark skin tone
🫲🏿	dark skin tone, hand, left, leftward, leftward hand: dark skin tone, leftwards
👌	OK, hand, perfect
👌🏻	OK, hand, light skin tone, perfect
👌🏼	OK, hand, medium-light skin tone, perfect
👌🏽	OK, hand, medium skin tone, perfect
👌🏾	OK, hand, medium-dark skin tone, perfect
👌🏿	OK, dark skin tone, hand, perfect
🤞	cross, crossed fingers, finger, good luck, hand, luck
🤞🏻	cross, crossed fingers, finger, good luck, hand, light skin tone, luck
🤞🏼	cross, crossed fingers, finger, good luck, hand, luck, medium-light skin tone
🤞🏽	cross, crossed fingers, finger, good luck, hand, luck, medium skin tone
🤞🏾	cross, crossed fingers, finger, good luck, hand, luck, medium-dark skin tone
🤞🏿	cross, crossed fingers, dark skin tone, finger, good luck, hand, luck
🤟	ILY, hand, love you gesture, love-you gesture
🤟🏻	ILY, hand, light skin tone, love you gesture, love-you gesture
🤟🏼	ILY, hand, love you gesture, love-you gesture, medium-light skin tone
🤟🏽	ILY, hand, love you gesture, love-you gesture, medium skin tone
🤟🏾	ILY, hand, love you gesture, love-you gesture, medium-dark skin tone
🤟🏿	ILY, dark skin tone, hand, love you gesture, love-you gesture
🤘	finger, hand, horns, rock on, sign of the horns
🤘🏻	finger, hand, horns, light skin tone, rock on, sign of the horns
🤘🏼	finger, hand, horns, medium-light skin tone, rock on, sign of the horns
🤘🏽	finger, hand, horns, medium skin tone, rock on, sign of the horns
🤘🏾	finger, hand, horns, medium-dark skin tone, rock on, sign of the horns
🤘🏿	dark skin tone, finger, hand, horns, rock on, sign of the horns
🤙	call, call me hand, call-me hand, hand
🤙🏻	call, call me hand, call-me hand, hand, light skin tone
🤙🏼	call, call me hand, call-me hand, hand, medium-light skin tone
🤙🏽	call, call me hand, call-me hand, hand, medium skin tone
🤙🏾	call, call me hand, call-me hand, hand, medium-dark skin tone
🤙🏿	call, call me hand, call-me hand, dark skin tone, hand
🤛	fist, left-facing fist, leftward
🤛🏻	fist, left-facing fist, leftward, light skin tone
🤛🏼	fist, left-facing fist, leftward, medium-light skin tone
🤛🏽	fist, left-facing fist, leftward, medium skin tone
🤛🏾	fist, left-facing fist, leftward, medium-dark skin tone
🤛🏿	dark skin tone, fist, left-facing fist, leftward
🤜	fist, right-facing fist, rightward
🤜🏻	fist, light skin tone, right-facing fist, rightward
🤜🏼	fist, medium-light skin tone, right-facing fist, rightward
🤜🏽	fist, medium skin tone, right-facing fist, rightward
🤜🏾	fist, medium-dark skin tone, right-facing fist, rightward
🤜🏿	dark skin tone, fist, right-facing fist, rightward
🙏	ask, folded hands, hand, high five, please, pray, thanks
🙏🏻	ask, folded hands, hand, high five, light skin tone, please, pray, thanks
🙏🏼	ask, folded hands, hand, high five, medium-light skin tone, please, pray, thanks
🙏🏽	ask, folded hands, hand, high five, medium skin tone, please, pray, thanks
🙏🏾	ask, folded hands, hand, high five, medium-dark skin tone, please, pray, thanks
🙏🏿	ask, dark skin tone, folded hands, hand, high five, please, pray, thanks
🦻	accessibility, ear with hearing aid, hard of hearing, hearing impaired
🦻🏻	accessibility, ear with hearing aid, hard of hearing, hearing impaired, light skin tone
🦻🏼	accessibility, ear with hearing aid, hard of hearing, hearing impaired, medium-light skin tone
🦻🏽	accessibility, ear with hearing aid, hard of hearing, hearing impaired, medium skin tone
🦻🏾	accessibility, ear with hearing aid, hard of hearing, hearing impaired, medium-dark skin tone
🦻🏿	accessibility, dark skin tone, ear with hearing aid, hard of hearing, hearing impaired
👧	girl, young
👧🏻	girl, light skin tone, young
👧🏼	girl, medium-light skin tone, young
👧🏽	girl, medium skin tone, young
👧🏾	girl, medium-dark skin tone, young
👧🏿	dark skin tone, girl, young
🧏	accessibility, deaf, deaf person, ear, hear, hearing impaired
🧏🏻	accessibility, deaf, deaf person, ear, hear, hearing impaired, light skin tone
🧏🏼	accessibility, deaf, deaf person, ear, hear, hearing impaired, medium-light skin tone
🧏🏽	accessibility, deaf, deaf person, ear, hear, hearing impaired, medium skin tone
🧏🏾	accessibility, deaf, deaf person, ear, hear, hearing impaired, medium-dark skin tone
🧏🏿	accessibility, dark skin tone, deaf, deaf person, ear, hear, hearing impaired
🧑‍⚕	care, doctor, health, health worker, healthcare, nurse, therapist
🧑🏻‍⚕	care, doctor, health, health worker, healthcare, light skin tone, nurse, therapist
🧑🏼‍⚕	care, doctor, health, health worker, healthcare, medium-light skin tone, nurse, therapist
🧑🏽‍⚕	care, doctor, health, health worker, healthcare, medium skin tone, nurse, therapist
🧑🏾‍⚕	care, doctor, health, health worker, healthcare, medium-dark skin tone, nurse, therapist
🧑🏿‍⚕	care, dark skin tone, doctor, health, health worker, healthcare, nurse, therapist
👨‍⚕	doctor, health care, man, man health worker, nurse, therapist
👨🏻‍⚕	doctor, health care, light skin tone, man, man health worker, nurse, therapist
👨🏼‍⚕	doctor, health care, man, man health worker, medium-light skin tone, nurse, therapist
👨🏽‍⚕	doctor, health care, man, man health worker, medium skin tone, nurse, therapist
👨🏾‍⚕	doctor, health care, man, man health worker, medium-dark skin tone, nurse, therapist
👨🏿‍⚕	dark skin tone, doctor, health care, man, man health worker, nurse, therapist
👩‍⚕	doctor, health care, nurse, therapist, woman, woman health worker
👩🏻‍⚕	doctor, health care, light skin tone, nurse, therapist, woman, woman health worker
👩🏼‍⚕	doctor, health care, medium-light skin tone, nurse, therapist, woman, woman health worker
👩🏽‍⚕	doctor, health care, medium skin tone, nurse, therapist, woman, woman health worker
👩🏾‍⚕	doctor, health care, medium-dark skin tone, nurse, therapist, woman, woman health worker
👩🏿‍⚕	dark skin tone, doctor, health care, nurse, therapist, woman, woman health worker
🧑‍🚒	engine, fire, firefighter, firetruck, truck
🧑🏻‍🚒	engine, fire, firefighter, firetruck, light skin tone, truck
🧑🏼‍🚒	engine, fire, firefighter, firetruck, medium-light skin tone, truck
🧑🏽‍🚒	engine, fire, firefighter, firetruck, medium skin tone, truck
🧑🏾‍🚒	engine, fire, firefighter, firetruck, medium-dark skin tone, truck
🧑🏿‍🚒	dark skin tone, engine, fire, firefighter, firetruck, truck
👨‍🚒	fire truck, firefighter, fireman, man
👨🏻‍🚒	fire truck, firefighter, fireman, light skin tone, man
👨🏼‍🚒	fire truck, firefighter, fireman, man, medium-light skin tone
👨🏽‍🚒	fire truck, firefighter, fireman, man, medium skin tone
👨🏾‍🚒	fire truck, firefighter, fireman, man, medium-dark skin tone
👨🏿‍🚒	dark skin tone, fire truck, firefighter, fireman, man
👩‍🚒	engine, fire, firefighter, firetruck, firewoman, truck, woman
👩🏻‍🚒	engine, fire, firefighter, firetruck, firewoman, light skin tone, truck, woman
👩🏼‍🚒	engine, fire, firefighter, firetruck, firewoman, medium-light skin tone, truck, woman
👩🏽‍🚒	engine, fire, firefighter, firetruck, firewoman, medium skin tone, truck, woman
👩🏾‍🚒	engine, fire, firefighter, firetruck, firewoman, medium-dark skin tone, truck, woman
👩🏿‍🚒	dark skin tone, engine, fire, firefighter, firetruck, firewoman, truck, woman
🎅	Christmas, Claus, Father, Santa, celebration
🎅🏻	Christmas, Claus, Father, Santa, celebration, light skin tone
🎅🏼	Christmas, Claus, Father, Santa, celebration, medium-light skin tone
🎅🏽	Christmas, Claus, Father, Santa, celebration, medium skin tone
🎅🏾	Christmas, Claus, Father, Santa, celebration, medium-dark skin tone
🎅🏿	Christmas, Claus, Father, Santa, celebration, dark skin tone
🤶	Christmas, Claus, Mother, Mrs., celebration
🤶🏻	Christmas, Claus, Mother, Mrs., celebration, light skin tone
🤶🏼	Christmas, Claus, Mother, Mrs., celebration, medium-light skin tone
🤶🏽	Christmas, Claus, Mother, Mrs., celebration, medium skin tone
🤶🏾	Christmas, Claus, Mother, Mrs., celebration, medium-dark skin tone
🤶🏿	Christmas, Claus, Mother, Mrs., celebration, dark skin tone
🧑‍🎄	Claus, Christmas, Mx. Claus
🧑🏻‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: light skin tone, light skin tone
🧑🏼‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: medium-light skin tone, medium-light skin tone
🧑🏽‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: medium skin tone, medium skin tone
🧑🏾‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: medium-dark skin tone, medium-dark skin tone
🧑🏿‍🎄	Claus, Christmas, Mx. Claus, Mx. Claus: dark skin tone, dark skin tone
💇	barber, beauty, haircut, parlour, person getting haircut
💇🏻	barber, beauty, haircut, light skin tone, parlour, person getting haircut
💇🏼	barber, beauty, haircut, medium-light skin tone, parlour, person getting haircut
💇🏽	barber, beauty, haircut, medium skin tone, parlour, person getting haircut
💇🏾	barber, beauty, haircut, medium-dark skin tone, parlour, person getting haircut
💇🏿	barber, beauty, dark skin tone, haircut, parlour, person getting haircut
🏋️	lifter, person lifting weights, weight, weightlifter
🏋🏻	lifter, light skin tone, person lifting weights, weight, weightlifter
🏋🏼	lifter, medium-light skin tone, person lifting weights, weight, weightlifter
🏋🏽	lifter, medium skin tone, person lifting weights, weight, weightlifter
🏋🏾	lifter, medium-dark skin tone, person lifting weights, weight, weightlifter
🏋🏿	dark skin tone, lifter, person lifting weights, weight, weightlifter
🤹	balance, juggle, multi-task, multitask, person juggling, skill
🤹🏻	balance, juggle, light skin tone, multi-task, multitask, person juggling, skill
🤹🏼	balance, juggle, medium-light skin tone, multi-task, multitask, person juggling, skill
🤹🏽	balance, juggle, medium skin tone, multi-task, multitask, person juggling, skill
🤹🏾	balance, juggle, medium-dark skin tone, multi-task, multitask, person juggling, skill
🤹🏿	balance, dark skin tone, juggle, multi-task, multitask, person juggling, skill
🤹‍♂	juggling, man, multi-task, multitask
🤹🏻‍♂	juggling, light skin tone, man, multi-task, multitask
🤹🏼‍♂	juggling, man, medium-light skin tone, multi-task, multitask
🤹🏽‍♂	juggling, man, medium skin tone, multi-task, multitask
🤹🏾‍♂	juggling, man, medium-dark skin tone, multi-task, multitask
🤹🏿‍♂	dark skin tone, juggling, man, multi-task, multitask
🤹‍♀	juggling, multi-task, multitask, woman
🤹🏻‍♀	juggling, light skin tone, multi-task, multitask, woman
🤹🏼‍♀	juggling, medium-light skin tone, multi-task, multitask, woman
🤹🏽‍♀	juggling, medium skin tone, multi-task, multitask, woman
🤹🏾‍♀	juggling, medium-dark skin tone, multi-task, multitask, woman
🤹🏿‍♀	dark skin tone, juggling, multi-task, multitask, woman
👭	couple, hand, holding hands, two women holding hands, women
👭🏻	couple, hand, holding hands, light skin tone, two women holding hands, women
👩🏻‍🤝‍👩🏼	couple, hand, holding hands, light skin tone, medium-light skin tone, two women holding hands, women
👩🏻‍🤝‍👩🏽	couple, hand, holding hands, light skin tone, medium skin tone, two women holding hands, women
👩🏻‍🤝‍👩🏾	couple, hand, holding hands, light skin tone, medium-dark skin tone, two women holding hands, women
👩🏻‍🤝‍👩🏿	couple, dark skin tone, hand, holding hands, light skin tone, two women holding hands, women
👩🏼‍🤝‍👩🏻	couple, hand, holding hands, light skin tone, medium-light skin tone, two women holding hands, women
👭🏼	couple, hand, holding hands, medium-light skin tone, two women holding hands, women
👩🏼‍🤝‍👩🏽	couple, hand, holding hands, medium skin tone, medium-light skin tone, two women holding hands, women
👩🏼‍🤝‍👩🏾	couple, hand, holding hands, medium-dark skin tone, medium-light skin tone, two women holding hands, women
👩🏼‍🤝‍👩🏿	couple, dark skin tone, hand, holding hands, medium-light skin tone, two women holding hands, women
👩🏽‍🤝‍👩🏻	couple, hand, holding hands, light skin tone, medium skin tone, two women holding hands, women
👩🏽‍🤝‍👩🏼	couple, hand, holding hands, medium skin tone, medium-light skin tone, two women holding hands, women
👭🏽	couple, hand, holding hands, medium skin tone, two women holding hands, women
👩🏽‍🤝‍👩🏾	couple, hand, holding hands, medium skin tone, medium-dark skin tone, two women holding hands, women
👩🏽‍🤝‍👩🏿	couple, dark skin tone, hand, holding hands, medium skin tone, two women holding hands, women
👩🏾‍🤝‍👩🏻	couple, hand, holding hands, light skin tone, medium-dark skin tone, two women holding hands, women
👩🏾‍🤝‍👩🏼	couple, hand, holding hands, medium-dark skin tone, medium-light skin tone, two women holding hands, women
👩🏾‍🤝‍👩🏽	couple, hand, holding hands, medium skin tone, medium-dark skin tone, two women holding hands, women
👭🏾	couple, hand, holding hands, medium-dark skin tone, two women holding hands, women
👩🏾‍🤝‍👩🏿	couple, dark skin tone, hand, holding hands, medium-dark skin tone, two women holding hands, women
👩🏿‍🤝‍👩🏻	couple, dark skin tone, hand, holding hands, light skin tone, two women holding hands, women
👩🏿‍🤝‍👩🏼	couple, dark skin tone, hand, holding hands, medium-light skin tone, two women holding hands, women
👩🏿‍🤝‍👩🏽	couple, dark skin tone, hand, holding hands, medium skin tone, two women holding hands, women
👩🏿‍🤝‍👩🏾	couple, dark skin tone, hand, holding hands, medium-dark skin tone, two women holding hands, women
👭🏿	couple, dark skin tone, hand, holding hands, two women holding hands, women
👬	Gemini, couple, holding hands, men, twins, two men holding hands, zodiac
👬🏻	Gemini, couple, holding hands, light skin tone, men, twins, two men holding hands, zodiac
👨🏻‍🤝‍👨🏼	Gemini, couple, holding hands, light skin tone, medium-light skin tone, men, twins, two men holding hands, zodiac
👨🏻‍🤝‍👨🏽	Gemini, couple, holding hands, light skin tone, medium skin tone, men, twins, two men holding hands, zodiac
👨🏻‍🤝‍👨🏾	Gemini, couple, holding hands, light skin tone, medium-dark skin tone, men, twins, two men holding hands, zodiac
👨🏻‍🤝‍👨🏿	Gemini, couple, dark skin tone, holding hands, light skin tone, men, twins, two men holding hands, zodiac
👨🏼‍🤝‍👨🏻	Gemini, couple, holding hands, light skin tone, medium-light skin tone, men, twins, two men holding hands, zodiac
👬🏼	Gemini, couple, holding hands, medium-light skin tone, men, twins, two men holding hands, zodiac
👨🏼‍🤝‍👨🏽	Gemini, couple, holding hands, medium skin tone, medium-light skin tone, men, twins, two men holding hands, zodiac
👨🏼‍🤝‍👨🏾	Gemini, couple, holding hands, medium-dark skin tone, medium-light skin tone, men, twins, two men holding hands, zodiac
👨🏼‍🤝‍👨🏿	Gemini, couple, dark skin tone, holding hands, medium-light skin tone, men, twins, two men holding hands, zodiac
👨🏽‍🤝‍👨🏻	Gemini, couple, holding hands, light skin tone, medium skin tone, men, twins, two men holding hands, zodiac
👨🏽‍🤝‍👨🏼	Gemini, couple, holding hands, medium skin tone, medium-light skin tone, men, twins, two men holding hands, zodiac
👬🏽	Gemini, couple, holding hands, medium skin tone, men, twins, two men holding hands, zodiac
👨🏽‍🤝‍👨🏾	Gemini, couple, holding hands, medium skin tone, medium-dark skin tone, men, twins, two men holding hands, zodiac
👨🏽‍🤝‍👨🏿	Gemini, couple, dark skin tone, holding hands, medium skin tone, men, twins, two men holding hands, zodiac
👨🏾‍🤝‍👨🏻	Gemini, couple, holding hands, light skin tone, medium-dark skin tone, men, twins, two men holding hands, zodiac
👨🏾‍🤝‍👨🏼	Gemini, couple, holding hands, medium-dark skin tone, medium-light skin tone, men, twins, two men holding hands, zodiac
👨🏾‍🤝‍👨🏽	Gemini, couple, holding hands, medium skin tone, medium-dark skin tone, men, twins, two men holding hands, zodiac
👬🏾	Gemini, couple, holding hands, medium-dark skin tone, men, twins, two men holding hands, zodiac
👨🏾‍🤝‍👨🏿	Gemini, couple, dark skin tone, holding hands, medium-dark skin tone, men, twins, two men holding hands, zodiac
👨🏿‍🤝‍👨🏻	Gemini, couple, dark skin tone, holding hands, light skin tone, men, twins, two men holding hands, zodiac
👨🏿‍🤝‍👨🏼	Gemini, couple, dark skin tone, holding hands, medium-light skin tone, men, twins, two men holding hands, zodiac
👨🏿‍🤝‍👨🏽	Gemini, couple, dark skin tone, holding hands, medium skin tone, men, twins, two men holding hands, zodiac
👨🏿‍🤝‍👨🏾	Gemini, couple, dark skin tone, holding hands, medium-dark skin tone, men, twins, two men holding hands, zodiac
👬🏿	Gemini, couple, dark skin tone, holding hands, men, twins, two men holding hands, zodiac
🦳	gray, grey, hair, old, white
🐫	Bactrian, camel, hump, two-hump camel
🐞	ladybug
🌾	ear, grain, rice, sheaf, sheaf of rice
🌰	chestnut, nut, plant
🥐	French, bread, crescent roll, croissant, food
🥖	French, baguette, bread, food
🧇	breakfast, iron, unclear, vague, waffle
🥩	chop, cut of meat, lamb chop, pork chop, steak
🍟	French, French fries, fries
🌮	Mexican, taco
🌯	Mexican, burrito, wrap
🧆	chick pea, chickpea, falafel, meatball
🍥	cake, fish, fish cake with swirl, narutomaki, pastry, swirl
🍦	cream, dessert, ice, soft, sweet
🍬	candy, dessert, sweet, sweets
🍶	bar, beverage, bottle, cup, drink, sake, saké
🍴	cooking, cutlery, fork, fork and knife, knife, knife and fork
🗻	Fuji, mount Fuji, mountain
🏛️	classical, classical building, column
🏪	convenience, dépanneur, store
🗼	Tokyo, Tokyo Tower, Tower
🗽	Liberty, Statue, Statue of Liberty
🕌	Islam, Muslim, mosque, religion
🛕	Hindu, Hindu temple, temple
🕍	Jew, Jewish, religion, shul, synagogue, temple
⛩️	Shinto, Shinto shrine, religion, shrine
🕋	Islam, Kaaba, Muslim, kaaba, religion
🎡	Ferris, Ferris wheel, amusement park, theme park, wheel
🚃	car, electric, railway, train, tram, trolley bus, trolleybus
🚄	Shinkansen, high-speed train, railway, speed, train
🚅	Shinkansen, bullet, railway, speed, train
🚇️	subway
🚊	car, streetcar, tram, tramcar, trolley, trolley bus, trolleybus
🚋	car, streetcar, tram, tramcar, trolley, trolley bus, trolleybus
🚎	bus, streetcar, tram, trolley, trolley bus, trolleybus
🚒	fire truck
🚙	SUV, recreational, sport utility, sport utility vehicle
🚛	semi
🛺	auto rickshaw, tuk tuk, tuk-tuk, tuktuk
🚏	bus, busstop, stop
🛣️	highway
⛽️	gas pump
🛞	circle, turn, tyre
🛥️	motorboat
🕧	12, 12:30, clock, half past twelve, thirty, twelve, twelve thirty, twelve-thirty
🕜	1, 1:30, clock, half past one, one, one thirty, one-thirty, thirty
🕝	2, 2:30, clock, half past two, thirty, two, two thirty, two-thirty
🕞	3, 3:30, clock, half past three, thirty, three, three thirty, three-thirty
🕟	4, 4:30, clock, four, four thirty, four-thirty, half past four, thirty
🕠	5, 5:30, clock, five, five thirty, five-thirty, half past five, thirty
🕡	6, 6:30, clock, half past six, six, six thirty, six-thirty, thirty
🕢	7, 7:30, clock, half past seven, seven, seven thirty, seven-thirty, thirty
🕣	8, 8:30, clock, eight, eight thirty, eight-thirty, half past eight, thirty
🕤	9, 9:30, clock, half past nine, nine, nine thirty, nine-thirty, thirty
🕥	10, 10:30, clock, half past ten, ten, ten thirty, ten-thirty, thirty
🕦	11, 11:30, clock, eleven, eleven thirty, eleven-thirty, half past eleven, thirty
🌝	bright, face, full, full-moon face, moon
🌌	Milky, Milky Way, Way, space
🎃	Halloween, celebration, jack, jack-o-lantern, jack-o’-lantern, lantern
🎋	Japanese, Tanabata tree, banner, celebration, tree
🎑	celebration, ceremony, moon, moon viewing ceremony, moon-viewing ceremony
🏈	football
🏉	rugby
🥏	Frisbee, flying disc, ultimate
🏏	ball, bat, cricket, cricket match, game
🏒	hockey
🤿	diving, diving mask, scuba, snorkelling
🥌	curling rock, curling stone, game, rock
🀄️	Mahjong, Mahjong red dragon, game, red
👕	T-shirt, clothing, shirt, t-shirt, tee-shirt, tshirt
🩱	bathing suit, one-piece swimsuit, swimming costume
🩴	beach sandal, flip-flop, sandal, thong, zōri
🥿	ballet flat, flat shoe, pump, slip-on, slipper
🧢	baseball cap
💎	diamond, gem, gem stone, gemstone, jewel
📯	post horn
💾	computer, disk, diskette, floppy
💷	banknote, bill, currency, money, note, pound, sterling
✉️	e-mail, email, envelope, letter
📫️	closed, closed postbox with raised flag, mail, mailbox, post, post box, postbox
📪️	closed, closed postbox with lowered flag, mail, mailbox, post, post box, postbox
📬️	mail, mailbox, open, open postbox with raised flag, post, post box, postbox
📭️	mail, mailbox, open, open postbox with lowered flag, post, post box, postbox
📮	mail, mailbox, post, post box, postbox
📐	ruler, set, set square, triangle, triangular ruler
🔒️	closed, locked, padlock
🔓️	lock, open, padlock, unlock, unlocked
🦯	accessibility, blind, guide cane
🩹	injury, plaster, sticking plaster
