‾	tapae
👋🏿	kiri āhua parauri, pōhiri, pōhirihiri, ringa, ringa pōhirihiri: kiri āhua parauri
🤚	tāmuri, tāmuri tū, tū
🤚🏻	kiri āhua māmā, tāmuri, tāmuri tū: kiri āhua māmā, tū
🤚🏼	kiri āhua māmā-waenga, tāmuri, tāmuri tū: kiri āhua māmā-waenga, tū
🤚🏽	kiri āhua waenga, tāmuri, tāmuri tū: kiri āhua waenga, tū
🤚🏾	kiri āhua waenga-parauri, tāmuri, tāmuri tū: kiri āhua waenga-parauri, tū
🤚🏿	kiri āhua parauri, tāmuri, tāmuri tū: kiri āhua parauri, tū
🖐️	matimati, paraha, ringa, ringa tū matimati paraha
🖐🏻	kiri āhua māmā, matimati, paraha, ringa, ringa tū matimati paraha, ringa tū matimati paraha: kiri āhua māmā
🖐🏼	kiri āhua māmā-waenga, matimati, paraha, ringa, ringa tū matimati paraha, ringa tū matimati paraha: kiri āhua māmā-waenga
🖐🏽	kiri āhua waenga, matimati, paraha, ringa, ringa tū matimati paraha, ringa tū matimati paraha: kiri āhua waenga
🖐🏾	kiri āhua waenga-parauri, matimati, paraha, ringa, ringa tū matimati paraha, ringa tū matimati paraha: kiri āhua waenga-parauri
🖐🏿	kiri āhua parauri, matimati, paraha, ringa, ringa tū matimati paraha, ringa tū matimati paraha: kiri āhua parauri
✋	ringa, ringa tū
✋🏻	kiri āhua māmā, ringa, ringa tū, ringa tū: kiri āhua māmā
✋🏼	kiri āhua māmā-waenga, ringa, ringa tū, ringa tū: kiri āhua māmā-waenga
✋🏽	kiri āhua waenga, ringa, ringa tū, ringa tū: kiri āhua waenga
✋🏾	kiri āhua waenga-parauri, ringa, ringa tū, ringa tū: kiri āhua waenga-parauri
✋🏿	kiri āhua parauri, ringa, ringa tū, ringa tū: kiri āhua parauri
🖖	matimati, ringa, spock, vulcan, whakakōtua vulcan
🖖🏻	kiri āhua māmā, matimati, ringa, spock, vulcan, whakakōtua vulcan, whakakōtua vulcan: kiri āhua māmā
🖖🏼	kiri āhua māmā-waenga, matimati, ringa, spock, vulcan, whakakōtua vulcan, whakakōtua vulcan: kiri āhua māmā-waenga
🖖🏽	kiri āhua waenga, matimati, ringa, spock, vulcan, whakakōtua vulcan, whakakōtua vulcan: kiri āhua waenga
🖖🏾	kiri āhua waenga-parauri, matimati, ringa, spock, vulcan, whakakōtua vulcan, whakakōtua vulcan: kiri āhua waenga-parauri
🖖🏿	kiri āhua parauri, matimati, ringa, spock, vulcan, whakakōtua vulcan, whakakōtua vulcan: kiri āhua parauri
🫱🏻‍🫲🏼	kiri āhua māmā, kiri āhua māmā-waenga, ringa, rūrū, rūrū: kiri āhua māmā, kiri āhua māmā-waenga, tūtaki, whakaaetanga
🫱🏻‍🫲🏽	kiri āhua māmā, kiri āhua waenga, ringa, rūrū, rūrū: kiri āhua māmā, kiri āhua waenga, tūtaki, whakaaetanga
🫱🏻‍🫲🏾	kiri āhua māmā, kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua māmā, kiri āhua waenga-parauri, tūtaki, whakaaetanga
🫱🏻‍🫲🏿	kiri āhua māmā, kiri āhua parauri, ringa, rūrū, rūrū: kiri āhua māmā, kiri āhua parauri, tūtaki, whakaaetanga
🫱🏼‍🫲🏻	kiri āhua māmā, kiri āhua māmā-waenga, ringa, rūrū, rūrū: kiri āhua māmā-waenga, kiri āhua māmā, tūtaki, whakaaetanga
🫱🏼‍🫲🏽	kiri āhua māmā-waenga, kiri āhua waenga, ringa, rūrū, rūrū: kiri āhua māmā-waenga, kiri āhua waenga, tūtaki, whakaaetanga
🫱🏼‍🫲🏾	kiri āhua māmā-waenga, kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua māmā-waenga, kiri āhua waenga-parauri, tūtaki, whakaaetanga
🫱🏼‍🫲🏿	kiri āhua māmā-waenga, kiri āhua parauri, ringa, rūrū, rūrū: kiri āhua māmā-waenga, kiri āhua parauri, tūtaki, whakaaetanga
🫱🏽‍🫲🏻	kiri āhua māmā, kiri āhua waenga, ringa, rūrū, rūrū: kiri āhua waenga, kiri āhua māmā, tūtaki, whakaaetanga
🫱🏽‍🫲🏼	kiri āhua māmā-waenga, kiri āhua waenga, ringa, rūrū, rūrū: kiri āhua waenga, kiri āhua māmā-waenga, tūtaki, whakaaetanga
🫱🏽‍🫲🏾	kiri āhua waenga, kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua waenga, kiri āhua waenga-parauri, tūtaki, whakaaetanga
🫱🏽‍🫲🏿	kiri āhua parauri, kiri āhua waenga, ringa, rūrū, rūrū: kiri āhua waenga, kiri āhua parauri, tūtaki, whakaaetanga
🫱🏾‍🫲🏻	kiri āhua māmā, kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua waenga-parauri, kiri āhua māmā, tūtaki, whakaaetanga
🫱🏾‍🫲🏼	kiri āhua māmā-waenga, kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua waenga-parauri, kiri āhua māmā-waenga, tūtaki, whakaaetanga
🫱🏾‍🫲🏽	kiri āhua waenga, kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua waenga-parauri, kiri āhua waenga, tūtaki, whakaaetanga
🫱🏾‍🫲🏿	kiri āhua parauri, kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua waenga-parauri, kiri āhua parauri, tūtaki, whakaaetanga
🫱🏿‍🫲🏻	kiri āhua māmā, kiri āhua parauri, ringa, rūrū, rūrū: kiri āhua parauri, kiri āhua māmā, tūtaki, whakaaetanga
🫱🏿‍🫲🏼	kiri āhua māmā-waenga, kiri āhua parauri, ringa, rūrū, rūrū: kiri āhua parauri, kiri āhua māmā-waenga, tūtaki, whakaaetanga
🫱🏿‍🫲🏽	kiri āhua parauri, kiri āhua waenga, ringa, rūrū, rūrū: kiri āhua parauri, kiri āhua waenga, tūtaki, whakaaetanga
🫱🏿‍🫲🏾	kiri āhua parauri, kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua parauri, kiri āhua waenga-parauri, tūtaki, whakaaetanga
👌	ringa, ringa ĀE, ĀE
👌🏻	kiri āhua māmā, ringa, ringa ĀE: kiri āhua māmā, ĀE
👌🏼	kiri āhua māmā-waenga, ringa, ringa ĀE: kiri āhua māmā-waenga, ĀE
👌🏽	kiri āhua waenga, ringa, ringa ĀE: kiri āhua waenga, ĀE
👌🏾	kiri āhua waenga-parauri, ringa, ringa ĀE: kiri āhua waenga-parauri, ĀE
👌🏿	kiri āhua parauri, ringa, ringa ĀE: kiri āhua parauri, ĀE
✌️	ringa, ringa wikitōria, v, wikitōria
✌🏻	kiri āhua māmā, ringa, ringa wikitōria: kiri āhua māmā, v, wikitōria
✌🏼	kiri āhua māmā-waenga, ringa, ringa wikitōria: kiri āhua māmā-waenga, v, wikitōria
✌🏽	kiri āhua waenga, ringa, ringa wikitōria: kiri āhua waenga, v, wikitōria
✌🏾	kiri āhua waenga-parauri, ringa, ringa wikitōria: kiri āhua waenga-parauri, v, wikitōria
✌🏿	kiri āhua parauri, ringa, ringa wikitōria: kiri āhua parauri, v, wikitōria
🤞	matimati, matimati whiri, ringa, waimarie, whiri
🤞🏻	kiri āhua māmā, matimati, matimati whiri: kiri āhua māmā, ringa, waimarie, whiri
🤞🏼	kiri āhua māmā-waenga, matimati, matimati whiri: kiri āhua māmā-waenga, ringa, waimarie, whiri
🤞🏽	kiri āhua waenga, matimati, matimati whiri: kiri āhua waenga, ringa, waimarie, whiri
🤞🏾	kiri āhua waenga-parauri, matimati, matimati whiri: kiri āhua waenga-parauri, ringa, waimarie, whiri
🤞🏿	kiri āhua parauri, matimati, matimati whiri: kiri āhua parauri, ringa, waimarie, whiri
🤟	aroha, ringa, tohu aroha-ki-a-koe
🤟🏻	aroha, kiri āhua māmā, ringa, tohu aroha-ki-a-koe, tohu aroha-ki-a-koe: kiri āhua māmā
🤟🏼	aroha, kiri āhua māmā-waenga, ringa, tohu aroha-ki-a-koe, tohu aroha-ki-a-koe: kiri āhua māmā-waenga
🤟🏽	aroha, kiri āhua waenga, ringa, tohu aroha-ki-a-koe, tohu aroha-ki-a-koe: kiri āhua waenga
🤟🏾	aroha, kiri āhua waenga-parauri, ringa, tohu aroha-ki-a-koe, tohu aroha-ki-a-koe: kiri āhua waenga-parauri
🤟🏿	aroha, kiri āhua parauri, ringa, tohu aroha-ki-a-koe, tohu aroha-ki-a-koe: kiri āhua parauri
🤘	kai kaha, matimati, pihi, ringa, tohu o ngā pihi
🤘🏻	kai kaha, kiri āhua māmā, matimati, pihi, ringa, tohu o ngā pihi, tohu o ngā pihi: kiri āhua māmā
🤘🏼	kai kaha, kiri āhua māmā-waenga, matimati, pihi, ringa, tohu o ngā pihi, tohu o ngā pihi: kiri āhua māmā-waenga
🤘🏽	kai kaha, kiri āhua waenga, matimati, pihi, ringa, tohu o ngā pihi, tohu o ngā pihi: kiri āhua waenga
🤘🏾	kai kaha, kiri āhua waenga-parauri, matimati, pihi, ringa, tohu o ngā pihi, tohu o ngā pihi: kiri āhua waenga-parauri
🤘🏿	kai kaha, kiri āhua parauri, matimati, pihi, ringa, tohu o ngā pihi, tohu o ngā pihi: kiri āhua parauri
🤙	ringa, ringa waea mai, waea
🤙🏻	kiri āhua māmā, ringa, ringa waea mai, ringa waea mai: kiri āhua māmā, waea
🤙🏼	kiri āhua māmā-waenga, ringa, ringa waea mai, ringa waea mai: kiri āhua māmā-waenga, waea
🤙🏽	kiri āhua waenga, ringa, ringa waea mai, ringa waea mai: kiri āhua waenga, waea
🤙🏾	kiri āhua waenga-parauri, ringa, ringa waea mai, ringa waea mai: kiri āhua waenga-parauri, waea
🤙🏿	kiri āhua parauri, ringa, ringa waea mai, ringa waea mai: kiri āhua parauri, waea
👈️	kōroa, kōroa tāmuri tohu mauī, matimati, ringa, tohu, tāmuri
👈🏻	kiri āhua māmā, kōroa, kōroa tāmuri tohu mauī, kōroa tāmuri tohu mauī: kiri āhua māmā, matimati, ringa, tohu, tāmuri
👈🏼	kiri āhua māmā-waenga, kōroa, kōroa tāmuri tohu mauī, kōroa tāmuri tohu mauī: kiri āhua māmā-waenga, matimati, ringa, tohu, tāmuri
👈🏽	kiri āhua waenga, kōroa, kōroa tāmuri tohu mauī, kōroa tāmuri tohu mauī: kiri āhua waenga, matimati, ringa, tohu, tāmuri
👈🏾	kiri āhua waenga-parauri, kōroa, kōroa tāmuri tohu mauī, kōroa tāmuri tohu mauī: kiri āhua waenga-parauri, matimati, ringa, tohu, tāmuri
👈🏿	kiri āhua parauri, kōroa, kōroa tāmuri tohu mauī, kōroa tāmuri tohu mauī: kiri āhua parauri, matimati, ringa, tohu, tāmuri
👉️	kōroa, kōroa tāmuri tohu matau, matimati, ringa, tohu, tāmuri
👉🏻	kiri āhua māmā, kōroa, kōroa tāmuri tohu matau, kōroa tāmuri tohu matau: kiri āhua māmā, matimati, ringa, tohu, tāmuri
👉🏼	kiri āhua māmā-waenga, kōroa, kōroa tāmuri tohu matau, kōroa tāmuri tohu matau: kiri āhua māmā-waenga, matimati, ringa, tohu, tāmuri
👉🏽	kiri āhua waenga, kōroa, kōroa tāmuri tohu matau, kōroa tāmuri tohu matau: kiri āhua waenga, matimati, ringa, tohu, tāmuri
👉🏾	kiri āhua waenga-parauri, kōroa, kōroa tāmuri tohu matau, kōroa tāmuri tohu matau: kiri āhua waenga-parauri, matimati, ringa, tohu, tāmuri
👉🏿	kiri āhua parauri, kōroa, kōroa tāmuri tohu matau, kōroa tāmuri tohu matau: kiri āhua parauri, matimati, ringa, tohu, tāmuri
👆️	ake, kōroa, kōroa tāmuri tohu ake, matimati, ringa, tohu, tāmuri
👆🏻	ake, kiri āhua māmā, kōroa, kōroa tāmuri tohu ake: kiri āhua māmā, matimati, ringa, tohu, tāmuri
👆🏼	ake, kiri āhua māmā-waenga, kōroa, kōroa tāmuri tohu ake: kiri āhua māmā-waenga, matimati, ringa, tohu, tāmuri
👆🏽	ake, kiri āhua waenga, kōroa, kōroa tāmuri tohu ake: kiri āhua waenga, matimati, ringa, tohu, tāmuri
👆🏾	ake, kiri āhua waenga-parauri, kōroa, kōroa tāmuri tohu ake: kiri āhua waenga-parauri, matimati, ringa, tohu, tāmuri
👆🏿	ake, kiri āhua parauri, kōroa, kōroa tāmuri tohu ake: kiri āhua parauri, matimati, ringa, tohu, tāmuri
🖕	matimati, māpere, ringa
🖕🏻	kiri āhua māmā, matimati, māpere, māpere: kiri āhua māmā, ringa
🖕🏼	kiri āhua māmā-waenga, matimati, māpere, māpere: kiri āhua māmā-waenga, ringa
🖕🏽	kiri āhua waenga, matimati, māpere, māpere: kiri āhua waenga, ringa
🖕🏾	kiri āhua waenga-parauri, matimati, māpere, māpere: kiri āhua waenga-parauri, ringa
🖕🏿	kiri āhua parauri, matimati, māpere, māpere: kiri āhua parauri, ringa
👇️	iho, kōroa, kōroa tāmuri tohu iho, matimati, ringa, tohu, tāmuri
👇🏻	iho, kiri āhua māmā, kōroa, kōroa tāmuri tohu iho: kiri āhua māmā, matimati, ringa, tohu, tāmuri
👇🏼	iho, kiri āhua māmā-waenga, kōroa, kōroa tāmuri tohu iho: kiri āhua māmā-waenga, matimati, ringa, tohu, tāmuri
👇🏽	iho, kiri āhua waenga, kōroa, kōroa tāmuri tohu iho: kiri āhua waenga, matimati, ringa, tohu, tāmuri
👇🏾	iho, kiri āhua waenga-parauri, kōroa, kōroa tāmuri tohu iho: kiri āhua waenga-parauri, matimati, ringa, tohu, tāmuri
👇🏿	iho, kiri āhua parauri, kōroa, kōroa tāmuri tohu iho: kiri āhua parauri, matimati, ringa, tohu, tāmuri
☝️	ake, kōroa, kōroa tohu ake, matimati, ringa, tohu
☝🏻	ake, kiri āhua māmā, kōroa, kōroa tohu ake: kiri āhua māmā, matimati, ringa, tohu
☝🏼	ake, kiri āhua māmā-waenga, kōroa, kōroa tohu ake: kiri āhua māmā-waenga, matimati, ringa, tohu
☝🏽	ake, kiri āhua waenga, kōroa, kōroa tohu ake: kiri āhua waenga, matimati, ringa, tohu
☝🏾	ake, kiri āhua waenga-parauri, kōroa, kōroa tohu ake: kiri āhua waenga-parauri, matimati, ringa, tohu
☝🏿	ake, kiri āhua parauri, kōroa, kōroa tohu ake: kiri āhua parauri, matimati, ringa, tohu
👍️	+1, ake, kōnui, kōnui ake, ringa
👍🏻	+1, ake, kiri āhua māmā, kōnui, kōnui ake: kiri āhua māmā, ringa
👍🏼	+1, ake, kiri āhua māmā-waenga, kōnui, kōnui ake: kiri āhua māmā-waenga, ringa
👍🏽	+1, ake, kiri āhua waenga, kōnui, kōnui ake: kiri āhua waenga, ringa
👍🏾	+1, ake, kiri āhua waenga-parauri, kōnui, kōnui ake: kiri āhua waenga-parauri, ringa
👍🏿	+1, ake, kiri āhua parauri, kōnui, kōnui ake: kiri āhua parauri, ringa
👎️	-1, iho, kōnui, kōnui iho, ringa
👎🏻	-1, iho, kiri āhua māmā, kōnui, kōnui iho: kiri āhua māmā, ringa
👎🏼	-1, iho, kiri āhua māmā-waenga, kōnui, kōnui iho: kiri āhua māmā-waenga, ringa
👎🏽	-1, iho, kiri āhua waenga, kōnui, kōnui iho: kiri āhua waenga, ringa
👎🏾	-1, iho, kiri āhua waenga-parauri, kōnui, kōnui iho: kiri āhua waenga-parauri, ringa
👎🏿	-1, iho, kiri āhua parauri, kōnui, kōnui iho: kiri āhua parauri, ringa
✊	kumu, meke, meke tū, ringa, tuki
✊🏻	kiri āhua māmā, kumu, meke, meke tū, meke tū: kiri āhua māmā, ringa, tuki
✊🏼	kiri āhua māmā-waenga, kumu, meke, meke tū, meke tū: kiri āhua māmā-waenga, ringa, tuki
✊🏽	kiri āhua waenga, kumu, meke, meke tū, meke tū: kiri āhua waenga, ringa, tuki
✊🏾	kiri āhua waenga-parauri, kumu, meke, meke tū, meke tū: kiri āhua waenga-parauri, ringa, tuki
✊🏿	kiri āhua parauri, kumu, meke, meke tū, meke tū: kiri āhua parauri, ringa, tuki
👊	kumu, meke, meke anga mai, ringa, tuki
👊🏻	kiri āhua māmā, kumu, meke, meke anga mai, meke anga mai: kiri āhua māmā, ringa, tuki
👊🏼	kiri āhua māmā-waenga, kumu, meke, meke anga mai, meke anga mai: kiri āhua māmā-waenga, ringa, tuki
👊🏽	kiri āhua waenga, kumu, meke, meke anga mai, meke anga mai: kiri āhua waenga, ringa, tuki
👊🏾	kiri āhua waenga-parauri, kumu, meke, meke anga mai, meke anga mai: kiri āhua waenga-parauri, ringa, tuki
👊🏿	kiri āhua parauri, kumu, meke, meke anga mai, meke anga mai: kiri āhua parauri, ringa, tuki
🤛	meke, meke anga-mauī, whakatemauī
🤛🏻	kiri āhua māmā, meke, meke anga-mauī, meke anga-mauī: kiri āhua māmā, whakatemauī
🤛🏼	kiri āhua māmā-waenga, meke, meke anga-mauī, meke anga-mauī: kiri āhua māmā-waenga, whakatemauī
🤛🏽	kiri āhua waenga, meke, meke anga-mauī, meke anga-mauī: kiri āhua waenga, whakatemauī
🤛🏾	kiri āhua waenga-parauri, meke, meke anga-mauī, meke anga-mauī: kiri āhua waenga-parauri, whakatemauī
🤛🏿	kiri āhua parauri, meke, meke anga-mauī, meke anga-mauī: kiri āhua parauri, whakatemauī
🤜	meke, meke anga-matau, whakatematau
🤜🏻	kiri āhua māmā, meke, meke anga-matau, meke anga-matau: kiri āhua māmā, whakatematau
🤜🏼	kiri āhua māmā-waenga, meke, meke anga-matau, meke anga-matau: kiri āhua māmā-waenga, whakatematau
🤜🏽	kiri āhua waenga, meke, meke anga-matau, meke anga-matau: kiri āhua waenga, whakatematau
🤜🏾	kiri āhua waenga-parauri, meke, meke anga-matau, meke anga-matau: kiri āhua waenga-parauri, whakatematau
🤜🏿	kiri āhua parauri, meke, meke anga-matau, meke anga-matau: kiri āhua parauri, whakatematau
👏	pakipaki, ringa, ringa pakipaki
👏🏻	kiri āhua māmā, pakipaki, ringa, ringa pakipaki: kiri āhua māmā
👏🏼	kiri āhua māmā-waenga, pakipaki, ringa, ringa pakipaki: kiri āhua māmā-waenga
👏🏽	kiri āhua waenga, pakipaki, ringa, ringa pakipaki: kiri āhua waenga
👏🏾	kiri āhua waenga-parauri, pakipaki, ringa, ringa pakipaki: kiri āhua waenga-parauri
👏🏿	kiri āhua parauri, pakipaki, ringa, ringa pakipaki: kiri āhua parauri
🙌	ngā ringa tū, ringa, tohu ā-ringa, tū, whakanuinga, āhaha
🙌🏻	kiri āhua māmā, ngā ringa tū, ngā ringa tū: kiri āhua māmā, ringa, tohu ā-ringa, tū, whakanuinga, āhaha
