👩🏻‍🦱	жена, жена: тип на кожа 1–2 и кадрава коса, женско, кадрава коса, тип на кожа 1–2
👩🏼‍🦱	жена, жена: тип на кожа 3 и кадрава коса, женско, кадрава коса, тип на кожа 3
👩🏽‍🦱	жена, жена: тип на кожа 4 и кадрава коса, женско, кадрава коса, тип на кожа 4
👩🏾‍🦱	жена, жена: тип на кожа 5 и кадрава коса, женско, кадрава коса, тип на кожа 5
👩🏿‍🦱	жена, жена: тип на кожа 6 и кадрава коса, женско, кадрава коса, тип на кожа 6
👩‍🦲	жена, жена: ќелав, женско, ќелав
👩🏻‍🦲	жена, жена: тип на кожа 1–2 и ќелав, женско, тип на кожа 1–2, ќелав
👩🏼‍🦲	жена, жена: тип на кожа 3 и ќелав, женско, тип на кожа 3, ќелав
👩🏽‍🦲	жена, жена: тип на кожа 4 и ќелав, женско, тип на кожа 4, ќелав
👩🏾‍🦲	жена, жена: тип на кожа 5 и ќелав, женско, тип на кожа 5, ќелав
👩🏿‍🦲	жена, жена: тип на кожа 6 и ќелав, женско, тип на кожа 6, ќелав
👩‍🦳	бела коса, жена, жена: бела коса, женско
👩🏻‍🦳	бела коса, жена, жена: тип на кожа 1–2 и бела коса, женско, тип на кожа 1–2
👩🏼‍🦳	бела коса, жена, жена: тип на кожа 3 и бела коса, женско, тип на кожа 3
👩🏽‍🦳	бела коса, жена, жена: тип на кожа 4 и бела коса, женско, тип на кожа 4
👩🏾‍🦳	бела коса, жена, жена: тип на кожа 5 и бела коса, женско, тип на кожа 5
👩🏿‍🦳	бела коса, жена, жена: тип на кожа 6 и бела коса, женско, тип на кожа 6
🧓🏻	пол-неутрален, постаро возрасно лице, постаро возрасно лице: тип на кожа 1–2, старо, тип на кожа 1–2
🧓🏼	пол-неутрален, постаро возрасно лице, постаро возрасно лице: тип на кожа 3, старо, тип на кожа 3
🧓🏽	пол-неутрален, постаро возрасно лице, постаро возрасно лице: тип на кожа 4, старо, тип на кожа 4
🧓🏾	пол-неутрален, постаро возрасно лице, постаро возрасно лице: тип на кожа 5, старо, тип на кожа 5
🧓🏿	пол-неутрален, постаро возрасно лице, постаро возрасно лице: тип на кожа 6, старо, тип на кожа 6
👴🏻	маж, машко, стар, старец, старец: тип на кожа 1–2, тип на кожа 1–2
👴🏼	маж, машко, стар, старец, старец: тип на кожа 3, тип на кожа 3
👴🏽	маж, машко, стар, старец, старец: тип на кожа 4, тип на кожа 4
👴🏾	маж, машко, стар, старец, старец: тип на кожа 5, тип на кожа 5
👴🏿	маж, машко, стар, старец, старец: тип на кожа 6, тип на кожа 6
👵🏻	жена, женско, стара, старица, старица: тип на кожа 1–2, тип на кожа 1–2
👵🏼	жена, женско, стара, старица, старица: тип на кожа 3, тип на кожа 3
👵🏽	жена, женско, стара, старица, старица: тип на кожа 4, тип на кожа 4
👵🏾	жена, женско, стара, старица, старица: тип на кожа 5, тип на кожа 5
👵🏿	жена, женско, стара, старица, старица: тип на кожа 6, тип на кожа 6
👨🏻‍⚕	доктор, доктор: тип на кожа 1–2, здравство, машко, терапевт, тип на кожа 1–2
👨🏼‍⚕	доктор, доктор: тип на кожа 3, здравство, машко, терапевт, тип на кожа 3
👨🏽‍⚕	доктор, доктор: тип на кожа 4, здравство, машко, терапевт, тип на кожа 4
👨🏾‍⚕	доктор, доктор: тип на кожа 5, здравство, машко, терапевт, тип на кожа 5
👨🏿‍⚕	доктор, доктор: тип на кожа 6, здравство, машко, терапевт, тип на кожа 6
👩🏻‍⚕	доктор, докторка, докторка: тип на кожа 1–2, жена, здравство, медицинска сестра, тип на кожа 1–2
👩🏼‍⚕	доктор, докторка, докторка: тип на кожа 3, жена, здравство, медицинска сестра, тип на кожа 3
👩🏽‍⚕	доктор, докторка, докторка: тип на кожа 4, жена, здравство, медицинска сестра, тип на кожа 4
👩🏾‍⚕	доктор, докторка, докторка: тип на кожа 5, жена, здравство, медицинска сестра, тип на кожа 5
👩🏿‍⚕	доктор, докторка, докторка: тип на кожа 6, жена, здравство, медицинска сестра, тип на кожа 6
👨🏻‍🎓	дипломец, маж, студент, студент: тип на кожа 1–2, тип на кожа 1–2
👨🏼‍🎓	дипломец, маж, студент, студент: тип на кожа 3, тип на кожа 3
👨🏽‍🎓	дипломец, маж, студент, студент: тип на кожа 4, тип на кожа 4
👨🏾‍🎓	дипломец, маж, студент, студент: тип на кожа 5, тип на кожа 5
👨🏿‍🎓	дипломец, маж, студент, студент: тип на кожа 6, тип на кожа 6
👩🏻‍🎓	дипломка, жена, студентка, студентка: тип на кожа 1–2, тип на кожа 1–2
👩🏼‍🎓	дипломка, жена, студентка, студентка: тип на кожа 3, тип на кожа 3
👩🏽‍🎓	дипломка, жена, студентка, студентка: тип на кожа 4, тип на кожа 4
👩🏾‍🎓	дипломка, жена, студентка, студентка: тип на кожа 5, тип на кожа 5
👩🏿‍🎓	дипломка, жена, студентка, студентка: тип на кожа 6, тип на кожа 6
👨🏻‍🏫	инструктор, маж, наставник, професор, тип на кожа 1–2, учител, учител: тип на кожа 1–2
👨🏼‍🏫	инструктор, маж, наставник, професор, тип на кожа 3, учител, учител: тип на кожа 3
👨🏽‍🏫	инструктор, маж, наставник, професор, тип на кожа 4, учител, учител: тип на кожа 4
👨🏾‍🏫	инструктор, маж, наставник, професор, тип на кожа 5, учител, учител: тип на кожа 5
👨🏿‍🏫	инструктор, маж, наставник, професор, тип на кожа 6, учител, учител: тип на кожа 6
👩🏻‍🏫	жена, наставничка, професорка, тип на кожа 1–2, учителка, учителка: тип на кожа 1–2
👩🏼‍🏫	жена, наставничка, професорка, тип на кожа 3, учителка, учителка: тип на кожа 3
👩🏽‍🏫	жена, наставничка, професорка, тип на кожа 4, учителка, учителка: тип на кожа 4
👩🏾‍🏫	жена, наставничка, професорка, тип на кожа 5, учителка, учителка: тип на кожа 5
👩🏿‍🏫	жена, наставничка, професорка, тип на кожа 6, учителка, учителка: тип на кожа 6
👨🏻‍⚖	маж, правда, судија, судија: тип на кожа 1–2, тип на кожа 1–2
👨🏼‍⚖	маж, правда, судија, судија: тип на кожа 3, тип на кожа 3
👨🏽‍⚖	маж, правда, судија, судија: тип на кожа 4, тип на кожа 4
👨🏾‍⚖	маж, правда, судија, судија: тип на кожа 5, тип на кожа 5
👨🏿‍⚖	маж, правда, судија, судија: тип на кожа 6, тип на кожа 6
👩🏻‍⚖	жена, судијка, судијка: тип на кожа 1–2, тип на кожа 1–2
👩🏼‍⚖	жена, судијка, судијка: тип на кожа 3, тип на кожа 3
👩🏽‍⚖	жена, судијка, судијка: тип на кожа 4, тип на кожа 4
👩🏾‍⚖	жена, судијка, судијка: тип на кожа 5, тип на кожа 5
👩🏿‍⚖	жена, судијка, судијка: тип на кожа 6, тип на кожа 6
👨🏻‍🌾	градинар, земјоделец, земјоделец: тип на кожа 1–2, маж, тип на кожа 1–2
👨🏼‍🌾	градинар, земјоделец, земјоделец: тип на кожа 3, маж, тип на кожа 3
👨🏽‍🌾	градинар, земјоделец, земјоделец: тип на кожа 4, маж, тип на кожа 4
👨🏾‍🌾	градинар, земјоделец, земјоделец: тип на кожа 5, маж, тип на кожа 5
👨🏿‍🌾	градинар, земјоделец, земјоделец: тип на кожа 6, маж, тип на кожа 6
👩🏻‍🌾	градинар, жена, земјоделец, земјоделка, земјоделка: тип на кожа 1–2, тип на кожа 1–2
👩🏼‍🌾	градинар, жена, земјоделец, земјоделка, земјоделка: тип на кожа 3, тип на кожа 3
👩🏽‍🌾	градинар, жена, земјоделец, земјоделка, земјоделка: тип на кожа 4, тип на кожа 4
👩🏾‍🌾	градинар, жена, земјоделец, земјоделка, земјоделка: тип на кожа 5, тип на кожа 5
👩🏿‍🌾	градинар, жена, земјоделец, земјоделка, земјоделка: тип на кожа 6, тип на кожа 6
👨🏻‍🍳	готвач, готвач: тип на кожа 1–2, маж, машко, тип на кожа 1–2
👨🏼‍🍳	готвач, готвач: тип на кожа 3, маж, машко, тип на кожа 3
👨🏽‍🍳	готвач, готвач: тип на кожа 4, маж, машко, тип на кожа 4
👨🏾‍🍳	готвач, готвач: тип на кожа 5, маж, машко, тип на кожа 5
👨🏿‍🍳	готвач, готвач: тип на кожа 6, маж, машко, тип на кожа 6
👩🏻‍🍳	готвачка, готвачка: тип на кожа 1–2, жена, женско, тип на кожа 1–2
👩🏼‍🍳	готвачка, готвачка: тип на кожа 3, жена, женско, тип на кожа 3
👩🏽‍🍳	готвачка, готвачка: тип на кожа 4, жена, женско, тип на кожа 4
👩🏾‍🍳	готвачка, готвачка: тип на кожа 5, жена, женско, тип на кожа 5
👩🏿‍🍳	готвачка, готвачка: тип на кожа 6, жена, женско, тип на кожа 6
👨🏻‍🔧	електричар, маж, механичар, механичар: тип на кожа 1–2, тип на кожа 1–2
👨🏼‍🔧	електричар, маж, механичар, механичар: тип на кожа 3, тип на кожа 3
👨🏽‍🔧	електричар, маж, механичар, механичар: тип на кожа 4, тип на кожа 4
👨🏾‍🔧	електричар, маж, механичар, механичар: тип на кожа 5, тип на кожа 5
👨🏿‍🔧	електричар, маж, механичар, механичар: тип на кожа 6, тип на кожа 6
👩🏻‍🔧	електричар, жена, механичар, механичарка, механичарка: тип на кожа 1–2, тип на кожа 1–2
👩🏼‍🔧	електричар, жена, механичар, механичарка, механичарка: тип на кожа 3, тип на кожа 3
👩🏽‍🔧	електричар, жена, механичар, механичарка, механичарка: тип на кожа 4, тип на кожа 4
👩🏾‍🔧	електричар, жена, механичар, механичарка, механичарка: тип на кожа 5, тип на кожа 5
👩🏿‍🔧	електричар, жена, механичар, механичарка, механичарка: тип на кожа 6, тип на кожа 6
👨🏻‍🏭	индустрија, маж, работник, работник: тип на кожа 1–2, тип на кожа 1–2, фабрика
👨🏼‍🏭	индустрија, маж, работник, работник: тип на кожа 3, тип на кожа 3, фабрика
👨🏽‍🏭	индустрија, маж, работник, работник: тип на кожа 4, тип на кожа 4, фабрика
👨🏾‍🏭	индустрија, маж, работник, работник: тип на кожа 5, тип на кожа 5, фабрика
👨🏿‍🏭	индустрија, маж, работник, работник: тип на кожа 6, тип на кожа 6, фабрика
👩🏻‍🏭	жена, индустрија, работничка, работничка: тип на кожа 1–2, тип на кожа 1–2, фабрика
👩🏼‍🏭	жена, индустрија, работничка, работничка: тип на кожа 3, тип на кожа 3, фабрика
👩🏽‍🏭	жена, индустрија, работничка, работничка: тип на кожа 4, тип на кожа 4, фабрика
👩🏾‍🏭	жена, индустрија, работничка, работничка: тип на кожа 5, тип на кожа 5, фабрика
👩🏿‍🏭	жена, индустрија, работничка, работничка: тип на кожа 6, тип на кожа 6, фабрика
👨🏻‍💼	административец, административец: тип на кожа 1–2, архитект, бизнисмен, канцеларија, маж, тип на кожа 1–2
👨🏼‍💼	административец, административец: тип на кожа 3, архитект, бизнисмен, канцеларија, маж, тип на кожа 3
👨🏽‍💼	административец, административец: тип на кожа 4, архитект, бизнисмен, канцеларија, маж, тип на кожа 4
👨🏾‍💼	административец, административец: тип на кожа 5, архитект, бизнисмен, канцеларија, маж, тип на кожа 5
👨🏿‍💼	административец, административец: тип на кожа 6, архитект, бизнисмен, канцеларија, маж, тип на кожа 6
👩🏻‍💼	административка, административка: тип на кожа 1–2, архитект, бизнисменка, канцеларија, маж, тип на кожа 1–2
👩🏼‍💼	административка, административка: тип на кожа 3, архитект, бизнисменка, канцеларија, маж, тип на кожа 3
👩🏽‍💼	административка, административка: тип на кожа 4, архитект, бизнисменка, канцеларија, маж, тип на кожа 4
👩🏾‍💼	административка, административка: тип на кожа 5, архитект, бизнисменка, канцеларија, маж, тип на кожа 5
👩🏿‍💼	административка, административка: тип на кожа 6, архитект, бизнисменка, канцеларија, маж, тип на кожа 6
👨🏻‍🔬	биолог, инженер, маж, научник, научник: тип на кожа 1–2, тип на кожа 1–2, хемичар
👨🏼‍🔬	биолог, инженер, маж, научник, научник: тип на кожа 3, тип на кожа 3, хемичар
👨🏽‍🔬	биолог, инженер, маж, научник, научник: тип на кожа 4, тип на кожа 4, хемичар
👨🏾‍🔬	биолог, инженер, маж, научник, научник: тип на кожа 5, тип на кожа 5, хемичар
👨🏿‍🔬	биолог, инженер, маж, научник, научник: тип на кожа 6, тип на кожа 6, хемичар
👩🏻‍🔬	биолог, жена, жена научник, жена научник: тип на кожа 1–2, инженер, тип на кожа 1–2, хемичар
👩🏼‍🔬	биолог, жена, жена научник, жена научник: тип на кожа 3, инженер, тип на кожа 3, хемичар
👩🏽‍🔬	биолог, жена, жена научник, жена научник: тип на кожа 4, инженер, тип на кожа 4, хемичар
👩🏾‍🔬	биолог, жена, жена научник, жена научник: тип на кожа 5, инженер, тип на кожа 5, хемичар
👩🏿‍🔬	биолог, жена, жена научник, жена научник: тип на кожа 6, инженер, тип на кожа 6, хемичар
👨🏻‍💻	маж, програмер, софтвер, технолог, технолог: тип на кожа 1–2, тип на кожа 1–2
👨🏼‍💻	маж, програмер, софтвер, технолог, технолог: тип на кожа 3, тип на кожа 3
👨🏽‍💻	маж, програмер, софтвер, технолог, технолог: тип на кожа 4, тип на кожа 4
👨🏾‍💻	маж, програмер, софтвер, технолог, технолог: тип на кожа 5, тип на кожа 5
👨🏿‍💻	маж, програмер, софтвер, технолог, технолог: тип на кожа 6, тип на кожа 6
👩🏻‍💻	жена, жена технолог, жена технолог: тип на кожа 1–2, програмер, софтвер, тип на кожа 1–2
👩🏼‍💻	жена, жена технолог, жена технолог: тип на кожа 3, програмер, софтвер, тип на кожа 3
👩🏽‍💻	жена, жена технолог, жена технолог: тип на кожа 4, програмер, софтвер, тип на кожа 4
👩🏾‍💻	жена, жена технолог, жена технолог: тип на кожа 5, програмер, софтвер, тип на кожа 5
👩🏿‍💻	жена, жена технолог, жена технолог: тип на кожа 6, програмер, софтвер, тип на кожа 6
👨🏻‍🎤	актер, маж, пејач, пејач: тип на кожа 1–2, тип на кожа 1–2, ѕвезда
👨🏼‍🎤	актер, маж, пејач, пејач: тип на кожа 3, тип на кожа 3, ѕвезда
👨🏽‍🎤	актер, маж, пејач, пејач: тип на кожа 4, тип на кожа 4, ѕвезда
👨🏾‍🎤	актер, маж, пејач, пејач: тип на кожа 5, тип на кожа 5, ѕвезда
👨🏿‍🎤	актер, маж, пејач, пејач: тип на кожа 6, тип на кожа 6, ѕвезда
👩🏻‍🎤	актер, жена, пејачка, пејачка: тип на кожа 1–2, тип на кожа 1–2, ѕвезда
👩🏼‍🎤	актер, жена, пејачка, пејачка: тип на кожа 3, тип на кожа 3, ѕвезда
👩🏽‍🎤	актер, жена, пејачка, пејачка: тип на кожа 4, тип на кожа 4, ѕвезда
👩🏾‍🎤	актер, жена, пејачка, пејачка: тип на кожа 5, тип на кожа 5, ѕвезда
👩🏿‍🎤	актер, жена, пејачка, пејачка: тип на кожа 6, тип на кожа 6, ѕвезда
👨🏻‍🎨	маж, сликар, тип на кожа 1–2, уметник, уметник: тип на кожа 1–2
👨🏼‍🎨	маж, сликар, тип на кожа 3, уметник, уметник: тип на кожа 3
👨🏽‍🎨	маж, сликар, тип на кожа 4, уметник, уметник: тип на кожа 4
👨🏾‍🎨	маж, сликар, тип на кожа 5, уметник, уметник: тип на кожа 5
👨🏿‍🎨	маж, сликар, тип на кожа 6, уметник, уметник: тип на кожа 6
👩🏻‍🎨	жена, сликар, тип на кожа 1–2, уметник, уметничка, уметничка: тип на кожа 1–2
👩🏼‍🎨	жена, сликар, тип на кожа 3, уметник, уметничка, уметничка: тип на кожа 3
👩🏽‍🎨	жена, сликар, тип на кожа 4, уметник, уметничка, уметничка: тип на кожа 4
👩🏾‍🎨	жена, сликар, тип на кожа 5, уметник, уметничка, уметничка: тип на кожа 5
👩🏿‍🎨	жена, сликар, тип на кожа 6, уметник, уметничка, уметничка: тип на кожа 6
👨🏻‍✈	авион, маж, пилот, пилот: тип на кожа 1–2, тип на кожа 1–2
👨🏼‍✈	авион, маж, пилот, пилот: тип на кожа 3, тип на кожа 3
👨🏽‍✈	авион, маж, пилот, пилот: тип на кожа 4, тип на кожа 4
👨🏾‍✈	авион, маж, пилот, пилот: тип на кожа 5, тип на кожа 5
👨🏿‍✈	авион, маж, пилот, пилот: тип на кожа 6, тип на кожа 6
👩🏻‍✈	авион, жена, жена пилот: тип на кожа 1–2, пилот, тип на кожа 1–2
👩🏼‍✈	авион, жена, жена пилот: тип на кожа 3, пилот, тип на кожа 3
👩🏽‍✈	авион, жена, жена пилот: тип на кожа 4, пилот, тип на кожа 4
👩🏾‍✈	авион, жена, жена пилот: тип на кожа 5, пилот, тип на кожа 5
👩🏿‍✈	авион, жена, жена пилот: тип на кожа 6, пилот, тип на кожа 6
👨🏻‍🚀	астронаут, астронаут: тип на кожа 1–2, вселена, маж, ракета, тип на кожа 1–2
👨🏼‍🚀	астронаут, астронаут: тип на кожа 3, вселена, маж, ракета, тип на кожа 3
👨🏽‍🚀	астронаут, астронаут: тип на кожа 4, вселена, маж, ракета, тип на кожа 4
👨🏾‍🚀	астронаут, астронаут: тип на кожа 5, вселена, маж, ракета, тип на кожа 5
👨🏿‍🚀	астронаут, астронаут: тип на кожа 6, вселена, маж, ракета, тип на кожа 6
👩🏻‍🚀	астронаут, вселена, жена, жена астронаут: тип на кожа 1–2, ракета, тип на кожа 1–2
👩🏼‍🚀	астронаут, вселена, жена, жена астронаут: тип на кожа 3, ракета, тип на кожа 3
👩🏽‍🚀	астронаут, вселена, жена, жена астронаут: тип на кожа 4, ракета, тип на кожа 4
👩🏾‍🚀	астронаут, вселена, жена, жена астронаут: тип на кожа 5, ракета, тип на кожа 5
👩🏿‍🚀	астронаут, вселена, жена, жена астронаут: тип на кожа 6, ракета, тип на кожа 6
👨🏻‍🚒	маж, пожар, пожарникар, пожарникар: тип на кожа 1–2, тип на кожа 1–2
