‾	apɔju
😹	Oju Ologbo Pɛlu Ɛkun Ayɔ, ayɔ̀, ojú, olóngbò, ɛkún
😻	Oju Arɛrin Ologbo Pɛlu Oju-ɔkan, ojú, olóngbò, rɛ́rìn músɛ́, ìfɛ́, ɛyinjú
😼	Oju Ologbo Pɛlu Ɛrin Afinishɛsin, aláìríbósheyɛ, ojú, olóngbò, rɛ́rìń músɛ́, shɛ̀sín
😽	Oju Ologbo Afɛnukonu Pɛlu Awɔn Oju Didi, olóngbò, ìfenukonu, ɛyinjú
🙀	Oju Ologbo Ti o Rɛ, haa, ojú, olóngbò, rírɛ̀, ìyàlɛ́nu
😿	Oju Ɛkun Ologbo, ojú, olóngbò, ìbànújɛ́, ɛkún
😾	Oju Ete Ologbo, ojú, olóngbo, shu ètè síta
🙈	ojú, rárá, wòó, èshù, èwɔ̀, ìfɔwɔ́júwè, Ɔbɔ Mari Ibi, ɔ̀bɔ
🙉	gbɔ́, ojú, rárá, èshù, èwɔ̀, ìfɔwɔ́júwè, Ɔbɔ Magbɔ Ibi
🙊	ojú, rárá, sɔ̀rɔ̀, èshù, èwɔ̀, ìfɔwɔ́júwè, Ɔbɔ Masɔ ibi, ɔ̀bɔ
💌	Lɛta Ifɛ, lɛ́tà, méèlì, ìfɛ́, ɔkàn
💘	Ɔkan Ti o Ni Ɔfa, ɔfà, ɔmɔ ɔlɔ́fà
💝	ríbɔ́nì àyájɔ́ olólùfɛ̀, Ɔkan Pɛlu Riboni
💖	dunú, dán, Ɔkan Didan
💗	bɛ̀rù, dunú, dàgbà, shɔkùlú, Ɔkan Didagba
💓	mímí, mímí ɔkàn, Ɔkan Ti O N Mi
💞	yíyí, Ɔkan Ti O N Yi
💕	Awɔn Ɔkan Meji, ìfɛ́
💟	Ɔkan Ti A She Lɔshɔ, ɔkàn
❣️	àmì, àmì ìyanu, àmì ìyanú ɔkàn tó wúwo, ìfàmìsí
💔	Ibanujɛ Ɔkan, kán, ti kán
❤️	ɔkàn, ɔkàn pupa
🧡	aláwɔ̀ ɔsàn, ɔlakàn ɔsàn
💛	yɛ́lò, Ɔkan Awɔ Ofeefe
💚	àwɔ̀ ewé, Ɔkan Awɔ Ewe
💙	búlù, Ɔkan Bulu
💜	pɔ́pù, Ɔkan Awɔ Pɔpu
🖤	dúdú, èshù, ìkà, Ɔkàn Dúdú
💋	Aami Ifɛnuko, fɛnukonu, ètè
💯	100, koko ɔgɔrun, kún, ìshirò, ɔgɔ́rùn
💥	Ikɔlu, bóòmù, àwàdà
💫	Itoogbe, àwàdà, ìràwɔ̀
💨	N Salɔ, dáàshì, àwàdà, ń sáré
💬	Bàlúnù Ɔ̀rɔ̀ Sísɔ, bàlú, àdàlú, àwàdà, ìtàkùrɔ̀sɔ, ɔ̀rɔ̀
👁‍🗨	bàlú ɔ̀rɔ̀, eyinjú, ojú ní àlú ɔ̀rɔ̀, ɛléri
🗨️	bàlúnù ɔ̀rɔ̀ sísɔ òsì, ìtàkùrɔ̀sɔ, ɔ̀rɔ̀
🗯️	bàlúnù, bàlúnù ɔ̀rɔ̀ sísɔ ɔ̀tún, bínú, àdàlú
👋	N Juwɔ, juwɔ́, ń juwɔ́, ɔwɔ́
👋🏻	N Juwɔ, N Juwɔ: amɔ́lára, amɔ́lára, juwɔ́, ń juwɔ́, ɔwɔ́
👋🏼	N Juwɔ, N Juwɔ: amɔ́lára díɛ̀, amɔ́lára díɛ̀, juwɔ́, ń juwɔ́, ɔwɔ́
👋🏽	N Juwɔ, N Juwɔ: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, juwɔ́, ń juwɔ́, ɔwɔ́
👋🏾	N Juwɔ, N Juwɔ: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, juwɔ́, ń juwɔ́, ɔwɔ́
👋🏿	N Juwɔ, N Juwɔ: adúláwɔ̀, adúláwɔ̀, juwɔ́, ń juwɔ́, ɔwɔ́
🤚	Na Ɛhin Ɔwɔ Soke, nà sókè, ɛ̀yìn ɔwɔ́
🤚🏻	Na Ɛhin Ɔwɔ Soke, Na Ɛhin Ɔwɔ Soke: amɔ́lára, amɔ́lára, nà sókè, ɛ̀yìn ɔwɔ́
🤚🏼	Na Ɛhin Ɔwɔ Soke, Na Ɛhin Ɔwɔ Soke: amɔ́lára díɛ̀, amɔ́lára díɛ̀, nà sókè, ɛ̀yìn ɔwɔ́
🤚🏽	Na Ɛhin Ɔwɔ Soke, Na Ɛhin Ɔwɔ Soke: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, nà sókè, ɛ̀yìn ɔwɔ́
🤚🏾	Na Ɛhin Ɔwɔ Soke, Na Ɛhin Ɔwɔ Soke: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, nà sókè, ɛ̀yìn ɔwɔ́
🤚🏿	Na Ɛhin Ɔwɔ Soke, Na Ɛhin Ɔwɔ Soke: adúláwɔ̀, adúláwɔ̀, nà sókè, ɛ̀yìn ɔwɔ́
🖐️	nawɔ́ sókè pɛ̀lú ìyàka, yàka, ìka, ɔwɔ́
🖐🏻	amɔ́lára, nawɔ́ sókè pɛ̀lú ìyàka, nawɔ́ sókè pɛ̀lú ìyàka: amɔ́lára, yàka, ìka, ɔwɔ́
🖐🏼	amɔ́lára díɛ̀, nawɔ́ sókè pɛ̀lú ìyàka, nawɔ́ sókè pɛ̀lú ìyàka: amɔ́lára díɛ̀, yàka, ìka, ɔwɔ́
🖐🏽	amɔ́láwɔ̀ díɛ̀, nawɔ́ sókè pɛ̀lú ìyàka, nawɔ́ sókè pɛ̀lú ìyàka: amɔ́láwɔ̀ díɛ̀, yàka, ìka, ɔwɔ́
🖐🏾	adúláwɔ̀ díɛ̀, nawɔ́ sókè pɛ̀lú ìyàka, nawɔ́ sókè pɛ̀lú ìyàka: adúláwɔ̀ díɛ̀, yàka, ìka, ɔwɔ́
🖐🏿	adúláwɔ̀, nawɔ́ sókè pɛ̀lú ìyàka, nawɔ́ sókè pɛ̀lú ìyàka: adúláwɔ̀, yàka, ìka, ɔwɔ́
✋	Ɔwɔ Nina Soke, ɔwɔ́
✋🏻	amɔ́lára, Ɔwɔ Nina Soke, Ɔwɔ Nina Soke: amɔ́lára, ɔwɔ́
✋🏼	amɔ́lára díɛ̀, Ɔwɔ Nina Soke, Ɔwɔ Nina Soke: amɔ́lára díɛ̀, ɔwɔ́
✋🏽	amɔ́láwɔ̀ díɛ̀, Ɔwɔ Nina Soke, Ɔwɔ Nina Soke: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
✋🏾	adúláwɔ̀ díɛ̀, Ɔwɔ Nina Soke, Ɔwɔ Nina Soke: adúláwɔ̀ díɛ̀, ɔwɔ́
✋🏿	adúláwɔ̀, Ɔwɔ Nina Soke, Ɔwɔ Nina Soke: adúláwɔ̀, ɔwɔ́
🖖	Kiki Ibɛri Funni, spock, vulcan, ìka, ɔwɔ́
🖖🏻	Kiki Ibɛri Funni, Kiki Ibɛri Funni: amɔ́lára, amɔ́lára, spock, vulcan, ìka, ɔwɔ́
🖖🏼	Kiki Ibɛri Funni, Kiki Ibɛri Funni: amɔ́lára díɛ̀, amɔ́lára díɛ̀, spock, vulcan, ìka, ɔwɔ́
🖖🏽	Kiki Ibɛri Funni, Kiki Ibɛri Funni: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, spock, vulcan, ìka, ɔwɔ́
🖖🏾	Kiki Ibɛri Funni, Kiki Ibɛri Funni: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, spock, vulcan, ìka, ɔwɔ́
🖖🏿	Kiki Ibɛri Funni, Kiki Ibɛri Funni: adúláwɔ̀, adúláwɔ̀, spock, vulcan, ìka, ɔwɔ́
🫱🏻‍🫲🏼	amɔ́lára, amɔ́lára díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára, amɔ́lára díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏻‍🫲🏽	amɔ́lára, amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára, amɔ́láwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏻‍🫲🏾	adúláwɔ̀ díɛ̀, amɔ́lára, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára, adúláwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏻‍🫲🏿	adúláwɔ̀, amɔ́lára, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára, adúláwɔ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏼‍🫲🏻	amɔ́lára, amɔ́lára díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára díɛ̀, amɔ́lára, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏼‍🫲🏽	amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏼‍🫲🏾	adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára díɛ̀, adúláwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏼‍🫲🏿	adúláwɔ̀, amɔ́lára díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára díɛ̀, adúláwɔ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏽‍🫲🏻	amɔ́lára, amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́láwɔ̀ díɛ̀, amɔ́lára, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏽‍🫲🏼	amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́láwɔ̀ díɛ̀, amɔ́lára díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏽‍🫲🏾	adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́láwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏽‍🫲🏿	adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́láwɔ̀ díɛ̀, adúláwɔ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏾‍🫲🏻	adúláwɔ̀ díɛ̀, amɔ́lára, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀ díɛ̀, amɔ́lára, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏾‍🫲🏼	adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏾‍🫲🏽	adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏾‍🫲🏿	adúláwɔ̀, adúláwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀ díɛ̀, adúláwɔ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏿‍🫲🏻	adúláwɔ̀, amɔ́lára, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀, amɔ́lára, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏿‍🫲🏼	adúláwɔ̀, amɔ́lára díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀, amɔ́lára díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏿‍🫲🏽	adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🫱🏿‍🫲🏾	adúláwɔ̀, adúláwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀, adúláwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
👌	ÓDÁRA, Ɔwɔ ODARA, ɔwɔ́
👌🏻	amɔ́lára, ÓDÁRA, Ɔwɔ ODARA, Ɔwɔ ODARA: amɔ́lára, ɔwɔ́
👌🏼	amɔ́lára díɛ̀, ÓDÁRA, Ɔwɔ ODARA, Ɔwɔ ODARA: amɔ́lára díɛ̀, ɔwɔ́
👌🏽	amɔ́láwɔ̀ díɛ̀, ÓDÁRA, Ɔwɔ ODARA, Ɔwɔ ODARA: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
👌🏾	adúláwɔ̀ díɛ̀, ÓDÁRA, Ɔwɔ ODARA, Ɔwɔ ODARA: adúláwɔ̀ díɛ̀, ɔwɔ́
👌🏿	adúláwɔ̀, ÓDÁRA, Ɔwɔ ODARA, Ɔwɔ ODARA: adúláwɔ̀, ɔwɔ́
✌️	asheyɔrí, asheyɔrí ɔwɔ́, v, ɔwɔ́
✌🏻	amɔ́lára, asheyɔrí, asheyɔrí ɔwɔ́: amɔ́lára, v, ɔwɔ́
✌🏼	amɔ́lára díɛ̀, asheyɔrí, asheyɔrí ɔwɔ́: amɔ́lára díɛ̀, v, ɔwɔ́
✌🏽	amɔ́láwɔ̀ díɛ̀, asheyɔrí, asheyɔrí ɔwɔ́: amɔ́láwɔ̀ díɛ̀, v, ɔwɔ́
✌🏾	adúláwɔ̀ díɛ̀, asheyɔrí, asheyɔrí ɔwɔ́: adúláwɔ̀ díɛ̀, v, ɔwɔ́
✌🏿	adúláwɔ̀, asheyɔrí, asheyɔrí ɔwɔ́: adúláwɔ̀, v, ɔwɔ́
🤞	Igbekalera, dábùú, orírere, ìka, ɔwɔ́
🤞🏻	Igbekalera, Igbekalera: amɔ́lára, amɔ́lára, dábùú, orírere, ìka, ɔwɔ́
🤞🏼	Igbekalera, Igbekalera: amɔ́lára díɛ̀, amɔ́lára díɛ̀, dábùú, orírere, ìka, ɔwɔ́
🤞🏽	Igbekalera, Igbekalera: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, dábùú, orírere, ìka, ɔwɔ́
🤞🏾	Igbekalera, Igbekalera: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, dábùú, orírere, ìka, ɔwɔ́
🤞🏿	Igbekalera, Igbekalera: adúláwɔ̀, adúláwɔ̀, dábùú, orírere, ìka, ɔwɔ́
🤟	ILY, ìfɔwɔ́júwè mo ní ìfɛ́, Ɔwɔ́
🤟🏻	ILY, amɔ́lára, ìfɔwɔ́júwè mo ní ìfɛ́, ìfɔwɔ́júwè mo ní ìfɛ́: amɔ́lára, Ɔwɔ́
🤟🏼	ILY, amɔ́lára díɛ̀, ìfɔwɔ́júwè mo ní ìfɛ́, ìfɔwɔ́júwè mo ní ìfɛ́: amɔ́lára díɛ̀, Ɔwɔ́
🤟🏽	ILY, amɔ́láwɔ̀ díɛ̀, ìfɔwɔ́júwè mo ní ìfɛ́, ìfɔwɔ́júwè mo ní ìfɛ́: amɔ́láwɔ̀ díɛ̀, Ɔwɔ́
🤟🏾	ILY, adúláwɔ̀ díɛ̀, ìfɔwɔ́júwè mo ní ìfɛ́, ìfɔwɔ́júwè mo ní ìfɛ́: adúláwɔ̀ díɛ̀, Ɔwɔ́
🤟🏿	ILY, adúláwɔ̀, ìfɔwɔ́júwè mo ní ìfɛ́, ìfɔwɔ́júwè mo ní ìfɛ́: adúláwɔ̀, Ɔwɔ́
🤘	19900, Aami Awɔn Iwo, ìka, ìwo, ɔwɔ́
🤘🏻	19900, Aami Awɔn Iwo, Aami Awɔn Iwo: amɔ́lára, amɔ́lára, ìka, ìwo, ɔwɔ́
🤘🏼	19900, Aami Awɔn Iwo, Aami Awɔn Iwo: amɔ́lára díɛ̀, amɔ́lára díɛ̀, ìka, ìwo, ɔwɔ́
🤘🏽	19900, Aami Awɔn Iwo, Aami Awɔn Iwo: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, ìka, ìwo, ɔwɔ́
🤘🏾	19900, Aami Awɔn Iwo, Aami Awɔn Iwo: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, ìka, ìwo, ɔwɔ́
🤘🏿	19900, Aami Awɔn Iwo, Aami Awɔn Iwo: adúláwɔ̀, adúláwɔ̀, ìka, ìwo, ɔwɔ́
🤙	ìpè, Ɔwɔ Ipeni, ɔwɔ́
🤙🏻	amɔ́lára, ìpè, Ɔwɔ Ipeni, Ɔwɔ Ipeni: amɔ́lára, ɔwɔ́
🤙🏼	amɔ́lára díɛ̀, ìpè, Ɔwɔ Ipeni, Ɔwɔ Ipeni: amɔ́lára díɛ̀, ɔwɔ́
🤙🏽	amɔ́láwɔ̀ díɛ̀, ìpè, Ɔwɔ Ipeni, Ɔwɔ Ipeni: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
🤙🏾	adúláwɔ̀ díɛ̀, ìpè, Ɔwɔ Ipeni, Ɔwɔ Ipeni: adúláwɔ̀ díɛ̀, ɔwɔ́
🤙🏿	adúláwɔ̀, ìpè, Ɔwɔ Ipeni, Ɔwɔ Ipeni: adúláwɔ̀, ɔwɔ́
👈️	ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👈🏻	amɔ́lára, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi: amɔ́lára, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👈🏼	amɔ́lára díɛ̀, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi: amɔ́lára díɛ̀, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👈🏽	amɔ́láwɔ̀ díɛ̀, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi: amɔ́láwɔ̀ díɛ̀, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👈🏾	adúláwɔ̀ díɛ̀, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi: adúláwɔ̀ díɛ̀, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
