🏻	tagwlimt taceɛlalt
🏕️	asdar
🏗️	bennu n uzadaɣ
🏘️	ixxamen
🏙️	tamdint
🏚️	axxam yettwaḍeggren
🏛️	amedruz aklasikan
🏜️	aneẓruf
🏝️	tigzirt taneẓruft
🏞️	amṛaḥ aɣelnaw
🏟️	annar
🏠️	axxam
🏭️	taneɣraft
🏳️	anay amellal
🏵️	tawardit
🏷️	tabzimt
🐕️	aydi
💻️	aselkim aziraz
📚️	idlisen
📤️	tanaka n tuzna
📷️	Takamiṛat
📺️	tiliẓri
📻️	rradyu
📽️	ameskan n yisura
🔈️	imesli
🔒️	yeskweṛ
🔓️	yeldi
🕷️	tissist
🕸️	azeṭṭa n tissit
🖥️	aselkim n tnarit
🖨️	tasaggazt
🖱️	taɣerdayt n uselkim
🖲️	aselkim
🗳️	asenduq
🗺️	takarḍa n umaḍal
😐️	war awal
🚇️	amitṛu
🚹️	azamul n urgaz
🚺️	azamul n tmeṭṭut
🚼️	azamul n ṣebyan
🛡️	abeckiḍ
🛩️	asafag ameẓyan
🛰️	Aṣatilit
