😀	jidħaq ħafna, wiċċ, wiċċ jidħak ħafna
😯	imsikket, sorpriż, stordut, wiċċ, wiċċ imsikket
😲	ixxokkjat, skantat, totalment, wiċċ, wiċċ skantat
😳	ruxxan, sturdut, wiċċ, wiċċ ruxxan
😦	imkemmex, tiftaħ, wiċċ, wiċċ imkemmex b’ħalq miftuħ, ħalq
😧	imdejjaq ħafna, wiċċ, wiċċ imdejjaq ħafna
😨	biża’, imbeżża’, tal-biża’, wiċċ, wiċċ imbeżża’
😰	blu, għaraq, kiesaħ, mgħaġġel, miftuħ, wiċċ, wiċċ b’ħalq miftuħ u għaraq kiesaħ, ħalq
😥	diżappuntat, għall-erwieħ, sollevat, wiċċ, wiċċ diżappuntat iżda sollevat
😢	dmugħ, imdejjaq, jibki, wiċċ, wiċċ jibki
😭	dmugħ, imdejjaq, jibki, jolfoq, wiċċ, wiċċ jibki jgħajjat
😱	biża’, għomod, imbeżża’, tal-biża’, werżaq, wiċċ, wiċċ iwerżaq bil-biża’
😖	imħawwad, wiċċ, wiċċ imħawwad
😣	perseveranti, wiċċ, wiċċ perseveranti
😞	diżappuntat, wiċċ, wiċċ diżappuntat
😓	għaraq, kiesaħ, wiċċ, wiċċ b’għaraq kiesaħ
😩	għajjien, għeja, wiċċ, wiċċ mimli għeja
😫	għajjien, wiċċ, wiċċ għajjien
😤	rebaħ, rebbieħ, wiċċ, wiċċ bid-duħħan ħiereġ mill-imnieħer
😡	aħmar, irrabjat, irrabjat ħafna, rabja kbira, sporġa xofftejh, wiċċ, wiċċ jisporġi x-xofftejn
😠	irrabjat, irrabjat ħafna, wiċċ, wiċċ irrabjat
🤬	dagħa, wiċċ bis-simboli fuq il-ħalq
😈	fantasija, qrun, tbissem, wiċċ, wiċċ jitbissem bil-qrun, ħrafa
👿	dimonju, fantasija, għafrit, wiċċ, wiċċ irrabjat bil-qrun, xitan, ħrafa
💀	kranju, mewt, mostru, wiċċ, ħrafa
☠️	crossbones, kranju, kranju u crossbones, mewt, mostru, wiċċ
💩	demel, komiku, mostru, munzell ħmieġ, purgar, wiċċ, ħmieġ
🤡	buffu, wiċċ, wiċċ ta’ buffu
👹	fantasija, kreatura, mostru, orku, wiċċ, ħrafa
👺	fantasija, goblin, kreatura, mostru, wiċċ, ħrafa
👻	fantasija, fatat, kreatura, mostru, wiċċ, ħrafa
👽️	UFO, aljen, extraterrestrijali, fantasija, kreatura, mostru, wiċċ, ħrafa
👾	UFO, aljen, extraterrestrijali, fantasija, mostru, mostru aljen, wiċċ, ħrafa
🤖	mostru, robot, wiċċ, wiċċ ta’ robot
😺	jitbissem, miftuħ, qattus, wiċċ, wiċċ ta’ qattus jitbissem b’ħalq miftuħ, ħalq
😸	għajn, jidħaq, jitbissem, qattus, wiċċ, wiċċ ta’ qattus jidħak ħafna b’għajnejn jitbissmu
😹	dmugħ, kant, qattus, wiċċ, wiċċ ta’ qattus bi dmugħ ta’ ferħ
😻	għajn, imħabba, jitbissem, qattus, wiċċ, wiċċ ta’ qattus jitbissem b’għajnejn bil-qlub
😼	imqarras, ironiku, jitbissem, qattus, wiċċ, wiċċ ta’ qattus bi tbissima mqarrsa
😽	bewsa, għajn, qattus, wiċċ, wiċċ ta’ qattus ibewwes b’għajnejn magħluqin
🙀	għajjien, mistgħaġeb, oh, qattus, wiċċ, wiċċ ta’ qattus għajjien
😿	dmugħ, imdejjaq, jibki, qattus, wiċċ, wiċċ ta’ qattus jibki
😾	jisporġi x-xofftejn, qattus, wiċċ, wiċċ ta’ qattus jisporġi x-xofftejn
🙈	ara, ma, mhux, pprojbit, pprojbiti, wiċċ, xadina, xadina li ma tara ebda ħażen, ġesti, ħażen
🙉	isma’, ma, mhux, pprojbit, pprojbiti, wiċċ, xadina, xadina li ma tisma’ ebda ħażen, ġesti, ħażen
🙊	ma, mhux, pprojbit, pprojbiti, tkellem, wiċċ, xadina, xadina li ma titkellem ebda ħażen, ġesti, ħażen
💌	imħabba, ittra, ittra ta’ mħabba, posta, qalb
💘	kupidu, qalb bi vleġġa, vleġġa
💝	qalb b’ċoff, valentinu, żigarella
💖	eċċitat, qalb tfexfex, tfexfex
💗	eċċitat, nervuża, polz, qalb tikber, tkabbir
💓	qalb tħabbat, taħbita tal-qalb, tħabbat
💞	iduru, qlub iduru
💕	imħabba, żewġt iqlub
💟	dekorazzjoni ta’ qalb, qalb
❣️	esklamazzjoni, esklamazzjoni ta’ qalb miġugħa, marka, punteġġjatura
💔	kisser, maqsuma, qalb maqsuma
❤️	qalb, qalb ħamra
🧡	oranġjo, qalb oranġjo
💛	isfar, qalb safra
💚	aħdar, qalb ħadra
💙	blu, qalb blu
💜	qalb vjola, vjola
🖤	iswed, qalb sewda, ħażen, ħażin
💋	bews, marka ta’ bewsa, xofftejn
💯	100, mija, mitt punt, punteġġ, sħiħ
💢	irrabjat, irrabjat ħafna, komiku, simbolu ta’ rabja
💥	boom, komiku, ħabta
💫	kewkba, komiku, stordut
💦	għaraq, komiku, qed itajjar, qtar tal-għaraq
💨	jaħrab ’l hemm, komiku, qed jiġri, sing
🕳️	toqba
💬	buzzieqa, bużżieqa, bużżieqa tad-diskors, djalogu, komik, taħdit
👁‍🗨	bużżieqa tad-diskors, għajn, għajnejn f’bużżieqa tad-diskors, xhud
🗨️	bużżieqa tad-diskors fuq ix-xellug, diskors, djalogu
🗯️	buzzieqa, bużżieqa, bużżieqa ta’ rabja fuq il-lemin, irrabjat, irrabjat ħafna
💭	bużżieqa, bużżieqa tal-ħsibijiet, djalogu, komiku, taħdit
💤	irqad, komiku, zzz
👋	id, id ixxejjer, qed ixejjer, xejjer
👋🏻	id, id ixxejjer, id ixxejjer: ton ċar tal-ġilda, qed ixejjer, ton ċar tal-ġilda, xejjer
👋🏼	id, id ixxejjer, id ixxejjer: ton medju-ċar tal-ġilda, qed ixejjer, ton medju-ċar tal-ġilda, xejjer
👋🏽	id, id ixxejjer, id ixxejjer: ton medju tal-ġilda, qed ixejjer, ton medju tal-ġilda, xejjer
👋🏾	id, id ixxejjer, id ixxejjer: ton medju-skur tal-ġilda, qed ixejjer, ton medju-skur tal-ġilda, xejjer
👋🏿	id, id ixxejjer, id ixxejjer: ton skur tal-ġilda, qed ixejjer, ton skur tal-ġilda, xejjer
🤚	id minn wara, id minn wara mgħollija, mgħollija
🤚🏻	id minn wara, id minn wara mgħollija, id minn wara mgħollija: ton ċar tal-ġilda, mgħollija, ton ċar tal-ġilda
🤚🏼	id minn wara, id minn wara mgħollija, id minn wara mgħollija: ton medju-ċar tal-ġilda, mgħollija, ton medju-ċar tal-ġilda
🤚🏽	id minn wara, id minn wara mgħollija, id minn wara mgħollija: ton medju tal-ġilda, mgħollija, ton medju tal-ġilda
🤚🏾	id minn wara, id minn wara mgħollija, id minn wara mgħollija: ton medju-skur tal-ġilda, mgħollija, ton medju-skur tal-ġilda
🤚🏿	id minn wara, id minn wara mgħollija, id minn wara mgħollija: ton skur tal-ġilda, mgħollija, ton skur tal-ġilda
🖐️	id, id mgħollija bl-iswaba’ mfettħa, mfettħa, suba’
🖐🏻	id, id mgħollija bl-iswaba’ mfettħa, id mgħollija bl-iswaba’ mfettħa: ton ċar tal-ġilda, mfettħa, suba’, ton ċar tal-ġilda
🖐🏼	id, id mgħollija bl-iswaba’ mfettħa, id mgħollija bl-iswaba’ mfettħa: ton medju-ċar tal-ġilda, mfettħa, suba’, ton medju-ċar tal-ġilda
🖐🏽	id, id mgħollija bl-iswaba’ mfettħa, id mgħollija bl-iswaba’ mfettħa: ton medju tal-ġilda, mfettħa, suba’, ton medju tal-ġilda
🖐🏾	id, id mgħollija bl-iswaba’ mfettħa, id mgħollija bl-iswaba’ mfettħa: ton medju-skur tal-ġilda, mfettħa, suba’, ton medju-skur tal-ġilda
🖐🏿	id, id mgħollija bl-iswaba’ mfettħa, id mgħollija bl-iswaba’ mfettħa: ton skur tal-ġilda, mfettħa, suba’, ton skur tal-ġilda
✋	id, id mgħollija
✋🏻	id, id mgħollija, id mgħollija: ton ċar tal-ġilda, ton ċar tal-ġilda
✋🏼	id, id mgħollija, id mgħollija: ton medju-ċar tal-ġilda, ton medju-ċar tal-ġilda
✋🏽	id, id mgħollija, id mgħollija: ton medju tal-ġilda, ton medju tal-ġilda
✋🏾	id, id mgħollija, id mgħollija: ton medju-skur tal-ġilda, ton medju-skur tal-ġilda
✋🏿	id, id mgħollija, id mgħollija: ton skur tal-ġilda, ton skur tal-ġilda
🖖	id, salut ta’ vulcan, spock, suba’, vulcan
🖖🏻	id, salut ta’ vulcan, salut ta’ vulcan: ton ċar tal-ġilda, spock, suba’, ton ċar tal-ġilda, vulcan
🖖🏼	id, salut ta’ vulcan, salut ta’ vulcan: ton medju-ċar tal-ġilda, spock, suba’, ton medju-ċar tal-ġilda, vulcan
🖖🏽	id, salut ta’ vulcan, salut ta’ vulcan: ton medju tal-ġilda, spock, suba’, ton medju tal-ġilda, vulcan
🖖🏾	id, salut ta’ vulcan, salut ta’ vulcan: ton medju-skur tal-ġilda, spock, suba’, ton medju-skur tal-ġilda, vulcan
🖖🏿	id, salut ta’ vulcan, salut ta’ vulcan: ton skur tal-ġilda, spock, suba’, ton skur tal-ġilda, vulcan
🫱🏻‍🫲🏼	b’idejn, ftehim, handshake, laqgħa, ton medju-ċar tal-ġilda, ton ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton ċar tal-ġilda u ton medju-ċar tal-ġilda
🫱🏻‍🫲🏽	b’idejn, ftehim, handshake, laqgħa, ton medju tal-ġilda, ton ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton ċar tal-ġilda u ton medju tal-ġilda
🫱🏻‍🫲🏾	b’idejn, ftehim, handshake, laqgħa, ton medju-skur tal-ġilda, ton ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton ċar tal-ġilda u ton medju-skur tal-ġilda
🫱🏻‍🫲🏿	b’idejn, ftehim, handshake, laqgħa, ton skur tal-ġilda, ton ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton ċar tal-ġilda u ton skur tal-ġilda
🫱🏼‍🫲🏻	b’idejn, ftehim, handshake, laqgħa, ton medju-ċar tal-ġilda, ton ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju-ċar tal-ġilda u ton ċar tal-ġilda
🫱🏼‍🫲🏽	b’idejn, ftehim, handshake, laqgħa, ton medju tal-ġilda, ton medju-ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju-ċar tal-ġilda u ton medju tal-ġilda
🫱🏼‍🫲🏾	b’idejn, ftehim, handshake, laqgħa, ton medju-skur tal-ġilda, ton medju-ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda
🫱🏼‍🫲🏿	b’idejn, ftehim, handshake, laqgħa, ton medju-ċar tal-ġilda, ton skur tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju-ċar tal-ġilda u ton skur tal-ġilda
🫱🏽‍🫲🏻	b’idejn, ftehim, handshake, laqgħa, ton medju tal-ġilda, ton ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju tal-ġilda u ton ċar tal-ġilda
🫱🏽‍🫲🏼	b’idejn, ftehim, handshake, laqgħa, ton medju tal-ġilda, ton medju-ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju tal-ġilda u ton medju-ċar tal-ġilda
🫱🏽‍🫲🏾	b’idejn, ftehim, handshake, laqgħa, ton medju tal-ġilda, ton medju-skur tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju tal-ġilda u ton medju-skur tal-ġilda
🫱🏽‍🫲🏿	b’idejn, ftehim, handshake, laqgħa, ton medju tal-ġilda, ton skur tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju tal-ġilda u ton skur tal-ġilda
🫱🏾‍🫲🏻	b’idejn, ftehim, handshake, laqgħa, ton medju-skur tal-ġilda, ton ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju-skur tal-ġilda u ton ċar tal-ġilda
🫱🏾‍🫲🏼	b’idejn, ftehim, handshake, laqgħa, ton medju-skur tal-ġilda, ton medju-ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda
🫱🏾‍🫲🏽	b’idejn, ftehim, handshake, laqgħa, ton medju tal-ġilda, ton medju-skur tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju-skur tal-ġilda u ton medju tal-ġilda
🫱🏾‍🫲🏿	b’idejn, ftehim, handshake, laqgħa, ton medju-skur tal-ġilda, ton skur tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton medju-skur tal-ġilda u ton skur tal-ġilda
🫱🏿‍🫲🏻	b’idejn, ftehim, handshake, laqgħa, ton skur tal-ġilda, ton ċar tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton skur tal-ġilda u ton ċar tal-ġilda
🫱🏿‍🫲🏼	b’idejn, ftehim, handshake, laqgħa, ton medju-ċar tal-ġilda, ton skur tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton skur tal-ġilda u ton medju-ċar tal-ġilda
🫱🏿‍🫲🏽	b’idejn, ftehim, handshake, laqgħa, ton medju tal-ġilda, ton skur tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton skur tal-ġilda u ton medju tal-ġilda
🫱🏿‍🫲🏾	b’idejn, ftehim, handshake, laqgħa, ton medju-skur tal-ġilda, ton skur tal-ġilda, ħu, ħu bl-idejn, ħu bl-idejn: ton skur tal-ġilda u ton medju-skur tal-ġilda
👌	OK, id, id OK
👌🏻	OK, id, id OK: ton ċar tal-ġilda, ton ċar tal-ġilda
👌🏼	OK, id, id OK: ton medju-ċar tal-ġilda, ton medju-ċar tal-ġilda
👌🏽	OK, id, id OK: ton medju tal-ġilda, ton medju tal-ġilda
👌🏾	OK, id, id OK: ton medju-skur tal-ġilda, ton medju-skur tal-ġilda
👌🏿	OK, id, id OK: ton skur tal-ġilda, ton skur tal-ġilda
✌️	id, id tar-rebħa, rebħa, v
✌🏻	id, id tar-rebħa, id tar-rebħa: ton ċar tal-ġilda, rebħa, ton ċar tal-ġilda, v
✌🏼	id, id tar-rebħa, id tar-rebħa: ton medju-ċar tal-ġilda, rebħa, ton medju-ċar tal-ġilda, v
✌🏽	id, id tar-rebħa, id tar-rebħa: ton medju tal-ġilda, rebħa, ton medju tal-ġilda, v
✌🏾	id, id tar-rebħa, id tar-rebħa: ton medju-skur tal-ġilda, rebħa, ton medju-skur tal-ġilda, v
✌🏿	id, id tar-rebħa, id tar-rebħa: ton skur tal-ġilda, rebħa, ton skur tal-ġilda, v
🤞	bl-idejn, inkroċja, subgħa, swaba nkroċjati, xorti
🤞🏻	bl-idejn, inkroċja, subgħa, swaba nkroċjati, swaba nkroċjati: ton ċar tal-ġilda, ton ċar tal-ġilda, xorti
🤞🏼	bl-idejn, inkroċja, subgħa, swaba nkroċjati, swaba nkroċjati: ton medju-ċar tal-ġilda, ton medju-ċar tal-ġilda, xorti
🤞🏽	bl-idejn, inkroċja, subgħa, swaba nkroċjati, swaba nkroċjati: ton medju tal-ġilda, ton medju tal-ġilda, xorti
🤞🏾	bl-idejn, inkroċja, subgħa, swaba nkroċjati, swaba nkroċjati: ton medju-skur tal-ġilda, ton medju-skur tal-ġilda, xorti
🤞🏿	bl-idejn, inkroċja, subgħa, swaba nkroċjati, swaba nkroċjati: ton skur tal-ġilda, ton skur tal-ġilda, xorti
🤟	ILY, id, ġest ta’ mħabba
🤟🏻	ILY, id, ton ċar tal-ġilda, ġest ta’ mħabba, ġest ta’ mħabba: ton ċar tal-ġilda
🤟🏼	ILY, id, ton medju-ċar tal-ġilda, ġest ta’ mħabba, ġest ta’ mħabba: ton medju-ċar tal-ġilda
🤟🏽	ILY, id, ton medju tal-ġilda, ġest ta’ mħabba, ġest ta’ mħabba: ton medju tal-ġilda
🤟🏾	ILY, id, ton medju-skur tal-ġilda, ġest ta’ mħabba, ġest ta’ mħabba: ton medju-skur tal-ġilda
🤟🏿	ILY, id, ton skur tal-ġilda, ġest ta’ mħabba, ġest ta’ mħabba: ton skur tal-ġilda
🤘	id, qrun, rock-on, sinjal tal-qrun, suba’
🤘🏻	id, qrun, rock-on, sinjal tal-qrun, sinjal tal-qrun: ton ċar tal-ġilda, suba’, ton ċar tal-ġilda
🤘🏼	id, qrun, rock-on, sinjal tal-qrun, sinjal tal-qrun: ton medju-ċar tal-ġilda, suba’, ton medju-ċar tal-ġilda
🤘🏽	id, qrun, rock-on, sinjal tal-qrun, sinjal tal-qrun: ton medju tal-ġilda, suba’, ton medju tal-ġilda
🤘🏾	id, qrun, rock-on, sinjal tal-qrun, sinjal tal-qrun: ton medju-skur tal-ġilda, suba’, ton medju-skur tal-ġilda
🤘🏿	id, qrun, rock-on, sinjal tal-qrun, sinjal tal-qrun: ton skur tal-ġilda, suba’, ton skur tal-ġilda
🤙	id, id ċempilli, sejħa
🤙🏻	id, id ċempilli, id ċempilli: ton ċar tal-ġilda, sejħa, ton ċar tal-ġilda
🤙🏼	id, id ċempilli, id ċempilli: ton medju-ċar tal-ġilda, sejħa, ton medju-ċar tal-ġilda
🤙🏽	id, id ċempilli, id ċempilli: ton medju tal-ġilda, sejħa, ton medju tal-ġilda
🤙🏾	id, id ċempilli, id ċempilli: ton medju-skur tal-ġilda, sejħa, ton medju-skur tal-ġilda
🤙🏿	id, id ċempilli, id ċempilli: ton skur tal-ġilda, sejħa, ton skur tal-ġilda
👈️	b’lura, idejn, indiċi, indiċi b’lura iipponta lejn ix-xellug, punt, suba’
👈🏻	b’lura, idejn, indiċi, indiċi b’lura iipponta lejn ix-xellug, indiċi b’lura iipponta lejn ix-xellug: ton ċar tal-ġilda, punt, suba’, ton ċar tal-ġilda
👈🏼	b’lura, idejn, indiċi, indiċi b’lura iipponta lejn ix-xellug, indiċi b’lura iipponta lejn ix-xellug: ton medju-ċar tal-ġilda, punt, suba’, ton medju-ċar tal-ġilda
👈🏽	b’lura, idejn, indiċi, indiċi b’lura iipponta lejn ix-xellug, indiċi b’lura iipponta lejn ix-xellug: ton medju tal-ġilda, punt, suba’, ton medju tal-ġilda
👈🏾	b’lura, idejn, indiċi, indiċi b’lura iipponta lejn ix-xellug, indiċi b’lura iipponta lejn ix-xellug: ton medju-skur tal-ġilda, punt, suba’, ton medju-skur tal-ġilda
👈🏿	b’lura, idejn, indiċi, indiċi b’lura iipponta lejn ix-xellug, indiċi b’lura iipponta lejn ix-xellug: ton skur tal-ġilda, punt, suba’, ton skur tal-ġilda
👉️	b’lura, idejn, indiċi, indiċi b’lura li jipponta lejn il-lemin, punt, suba’
👉🏻	b’lura, idejn, indiċi, indiċi b’lura li jipponta lejn il-lemin, indiċi b’lura li jipponta lejn il-lemin: ton ċar tal-ġilda, punt, suba’, ton ċar tal-ġilda
👉🏼	b’lura, idejn, indiċi, indiċi b’lura li jipponta lejn il-lemin, indiċi b’lura li jipponta lejn il-lemin: ton medju-ċar tal-ġilda, punt, suba’, ton medju-ċar tal-ġilda
👉🏽	b’lura, idejn, indiċi, indiċi b’lura li jipponta lejn il-lemin, indiċi b’lura li jipponta lejn il-lemin: ton medju tal-ġilda, punt, suba’, ton medju tal-ġilda
👉🏾	b’lura, idejn, indiċi, indiċi b’lura li jipponta lejn il-lemin, indiċi b’lura li jipponta lejn il-lemin: ton medju-skur tal-ġilda, punt, suba’, ton medju-skur tal-ġilda
👉🏿	b’lura, idejn, indiċi, indiċi b’lura li jipponta lejn il-lemin, indiċi b’lura li jipponta lejn il-lemin: ton skur tal-ġilda, punt, suba’, ton skur tal-ġilda
👆️	id, indiċ, indiċi b’lura, indiċi b’lura li jipponta ’l fuq, ipponta, suba’, ’l fuq
👆🏻	id, indiċ, indiċi b’lura, indiċi b’lura li jipponta ’l fuq, indiċi b’lura li jipponta ’l fuq: ton ċar tal-ġilda, ipponta, suba’, ton ċar tal-ġilda, ’l fuq
👆🏼	id, indiċ, indiċi b’lura, indiċi b’lura li jipponta ’l fuq, indiċi b’lura li jipponta ’l fuq: ton medju-ċar tal-ġilda, ipponta, suba’, ton medju-ċar tal-ġilda, ’l fuq
👆🏽	id, indiċ, indiċi b’lura, indiċi b’lura li jipponta ’l fuq, indiċi b’lura li jipponta ’l fuq: ton medju tal-ġilda, ipponta, suba’, ton medju tal-ġilda, ’l fuq
👆🏾	id, indiċ, indiċi b’lura, indiċi b’lura li jipponta ’l fuq, indiċi b’lura li jipponta ’l fuq: ton medju-skur tal-ġilda, ipponta, suba’, ton medju-skur tal-ġilda, ’l fuq
👆🏿	id, indiċ, indiċi b’lura, indiċi b’lura li jipponta ’l fuq, indiċi b’lura li jipponta ’l fuq: ton skur tal-ġilda, ipponta, suba’, ton skur tal-ġilda, ’l fuq
🖕	id, suba’, suba’ tan-nofs
🖕🏻	id, suba’, suba’ tan-nofs, suba’ tan-nofs: ton ċar tal-ġilda, ton ċar tal-ġilda
🖕🏼	id, suba’, suba’ tan-nofs, suba’ tan-nofs: ton medju-ċar tal-ġilda, ton medju-ċar tal-ġilda
🖕🏽	id, suba’, suba’ tan-nofs, suba’ tan-nofs: ton medju tal-ġilda, ton medju tal-ġilda
🖕🏾	id, suba’, suba’ tan-nofs, suba’ tan-nofs: ton medju-skur tal-ġilda, ton medju-skur tal-ġilda
🖕🏿	id, suba’, suba’ tan-nofs, suba’ tan-nofs: ton skur tal-ġilda, ton skur tal-ġilda
👇️	id, indiċi, indiċi b’lura, indiċi b’lura li jipponta ’l isfel, punt, suba’, ’l isfel
👇🏻	id, indiċi, indiċi b’lura, indiċi b’lura li jipponta ’l isfel, indiċi b’lura li jipponta ’l isfel: ton ċar tal-ġilda, punt, suba’, ton ċar tal-ġilda, ’l isfel
👇🏼	id, indiċi, indiċi b’lura, indiċi b’lura li jipponta ’l isfel, indiċi b’lura li jipponta ’l isfel: ton medju-ċar tal-ġilda, punt, suba’, ton medju-ċar tal-ġilda, ’l isfel
👇🏽	id, indiċi, indiċi b’lura, indiċi b’lura li jipponta ’l isfel, indiċi b’lura li jipponta ’l isfel: ton medju tal-ġilda, punt, suba’, ton medju tal-ġilda, ’l isfel
👇🏾	id, indiċi, indiċi b’lura, indiċi b’lura li jipponta ’l isfel, indiċi b’lura li jipponta ’l isfel: ton medju-skur tal-ġilda, punt, suba’, ton medju-skur tal-ġilda, ’l isfel
👇🏿	id, indiċi, indiċi b’lura, indiċi b’lura li jipponta ’l isfel, indiċi b’lura li jipponta ’l isfel: ton skur tal-ġilda, punt, suba’, ton skur tal-ġilda, ’l isfel
☝️	id, indiċi, indiċi li jipponta ’l fuq, ipponta, suba’, ’l fuq
☝🏻	id, indiċi, indiċi li jipponta ’l fuq, indiċi li jipponta ’l fuq: ton ċar tal-ġilda, ipponta, suba’, ton ċar tal-ġilda, ’l fuq
